b0,Ts,u_A_inf,m_A_inf,u_B_inf,m_B_inf,L_B,C,state
0.05,26.0,0.4026405453786515,0.4026405453786515,0.5973594546213485,0.5973594546213485,0.5973594546213485,0.19471890924269697,双平台共存
0.1,26.0,0.3989032681119559,0.3989032681119559,0.601096731888044,0.601096731888044,0.601096731888044,0.20219346377608816,市场倾斜
0.15000000000000002,26.0,0.3976439972927068,0.3976439972927068,0.6023560027072932,0.6023560027072932,0.6023560027072932,0.20471200541458645,市场倾斜
0.2,26.0,0.39691439640991877,0.39691439640991877,0.6030856035900812,0.6030856035900812,0.6030856035900812,0.20617120718016246,市场倾斜
0.25,26.0,0.3964276178168082,0.3964276178168082,0.6035723821831918,0.6035723821831918,0.6035723821831918,0.20714476436638363,市场倾斜
0.30000000000000004,26.0,0.3960770975783149,0.3960770975783149,0.6039229024216851,0.6039229024216851,0.6039229024216851,0.20784580484337023,市场倾斜
0.35000000000000003,26.0,0.395811873119161,0.395811873119161,0.604188126880839,0.604188126880839,0.604188126880839,0.208376253761678,市场倾斜
0.4,26.0,0.3956041369536278,0.3956041369536278,0.6043958630463722,0.6043958630463722,0.6043958630463722,0.20879172609274443,市场倾斜
0.45,26.0,0.39543724354090637,0.39543724354090637,0.6045627564590936,0.6045627564590936,0.6045627564590936,0.20912551291818726,市场倾斜
0.5,26.0,0.3953005517327442,0.3953005517327442,0.6046994482672559,0.6046994482672559,0.6046994482672559,0.2093988965345116,市场倾斜
0.55,26.0,0.39518685972177175,0.39518685972177175,0.6048131402782282,0.6048131402782282,0.6048131402782282,0.2096262805564565,市场倾斜
0.6000000000000001,26.0,0.3950911527469747,0.3950911527469747,0.6049088472530253,0.6049088472530253,0.6049088472530253,0.2098176945060506,市场倾斜
0.65,26.0,0.3950097752262545,0.3950097752262545,0.6049902247737455,0.6049902247737455,0.6049902247737455,0.20998044954749095,市场倾斜
0.7000000000000001,26.0,0.3949400101467656,0.3949400101467656,0.6050599898532344,0.6050599898532344,0.6050599898532344,0.21011997970646878,市场倾斜
0.75,26.0,0.3948798001301045,0.3948798001301045,0.6051201998698955,0.6051201998698955,0.6051201998698955,0.21024039973979103,市场倾斜
0.8,26.0,0.3948275149537106,0.3948275149537106,0.6051724850462894,0.6051724850462894,0.6051724850462894,0.2103449700925788,市场倾斜
0.8500000000000001,26.0,0.3947818965885714,0.3947818965885714,0.6052181034114286,0.6052181034114286,0.6052181034114286,0.21043620682285724,市场倾斜
0.9,26.0,0.39474192231577643,0.39474192231577643,0.6052580776842236,0.6052580776842236,0.6052580776842236,0.21051615536844714,市场倾斜
0.9500000000000001,26.0,0.39470676406937555,0.39470676406937555,0.6052932359306245,0.6052932359306245,0.6052932359306245,0.2105864718612489,市场倾斜
1.0,26.0,0.39467574521694626,0.39467574521694626,0.6053242547830537,0.6053242547830537,0.6053242547830537,0.21064850956610748,市场倾斜
1.05,26.0,0.3946482981399679,0.3946482981399679,0.6053517018600321,0.6053517018600321,0.6053517018600321,0.21070340372006424,市场倾斜
1.1,26.0,0.39462395343581985,0.39462395343581985,0.6053760465641802,0.6053760465641802,0.6053760465641802,0.2107520931283603,市场倾斜
