,alpha=0.0,alpha=0.1,alpha=0.2,alpha=0.3,alpha=0.4,alpha=0.5,alpha=0.6,alpha=0.7,alpha=0.8,alpha=0.9,alpha=1.0,alpha=1.1,alpha=1.2,alpha=1.3,alpha=1.4,alpha=1.5,alpha=1.6,alpha=1.7,alpha=1.8,alpha=1.9,alpha=2.0,alpha=2.1,alpha=2.2,alpha=2.3,alpha=2.4,alpha=2.5,alpha=2.6,alpha=2.7,alpha=2.8,alpha=2.9,alpha=3.0,alpha=3.1,alpha=3.2,alpha=3.3,alpha=3.4,alpha=3.5,alpha=3.6,alpha=3.7,alpha=3.8,alpha=3.9,alpha=4.0,alpha=4.1,alpha=4.2,alpha=4.3,alpha=4.4,alpha=4.5,alpha=4.6,alpha=4.7,alpha=4.8,alpha=4.9,alpha=5.0
beta=1.50,1.2808567650957059e-08,2.1846387365798137e-08,4.177518349024467e-07,0.00018080959085309267,0.029091949773815906,0.39933328136977786,0.5718592972209341,0.6694553457346336,0.7357233242691537,0.7839527630083196,0.8204456177754389,0.8487353889206262,0.8710224724305069,0.888779146732562,0.9030420463041318,0.9145684931247091,0.9239271374501642,0.9315534238966412,0.9377861940589025,0.9428921160451658,0.9470830492221676,0.950528480517685,0.9533648267466549,0.9557024215294094,0.9576308112024913,0.9592229286498547,0.9605383190281794,0.9616257229924531,0.9625251201897074,0.9632693415278308,0.9638853914466212,0.9643955086521908,0.9648180261102325,0.9651680704597767,0.9654581323582042,0.9656985326555412,0.9658978041912326,0.9660630050319182,0.9661999758498225,0.9663135516788256,0.9664077363301861,0.9664858461917538,0.9665506288862952,0.9666043612599108,0.9666489303591905,0.9666858983908925,0.9667165549782444,0.9667419850445305,0.9667630800859561,0.9667805756677642,0.966795093202193
beta=1.60,6.650614586822812e-08,2.285574396410084e-09,1.0266829981731007e-06,0.0005474898230638514,0.09278319220946141,0.46844623585931244,0.6108115162969943,0.6976294121780713,0.7578232456438561,0.802149436232549,0.8359439838239868,0.862277628737164,0.8830979864709866,0.8997267607210723,0.9131051534213761,0.9239271374501642,0.932717537746534,0.9398809600125084,0.9457334744026793,0.9505249207364153,0.9544543373977048,0.9576813252733775,0.9603345599929308,0.9625181809495209,0.964316789327867,0.9657993260535517,0.9670220620248601,0.9680310419878076,0.9688639918092647,0.9695518812075995,0.9701201544372268,0.9705897399314987,0.9709778670589493,0.9712987307474171,0.9715640335702965,0.9717834287798702,0.9719648830242883,0.9721149737622286,0.9722391334516384,0.9723418504441229,0.9724268331889547,0.9724971478605559,0.9725553290817334,0.9726034726482456,0.9726433117331885,0.9726762797991468,0.9727035625589168,0.9727261408998495,0.9727448263452894,0.9727602903514084,0.9727730885133974
beta=1.70,8.112635896395659e-09,5.6674459125716226e-08,2.533034954566027e-06,0.0015985063370762553,0.2162302768792943,0.5180794642703969,0.6419509735761865,0.7204856942480415,0.7758356327348999,0.8170004797027319,0.8485938584556494,0.8733268357459706,0.8929459600789501,0.908651381336144,0.9213065355273509,0.9315534238966412,0.9398809600125084,0.9466680001950862,0.9522121209742127,0.9567491080088139,0.9604674316580872,0.9635185404447819,0.9660246813143355,0.9680849432678093,0.9697798791491834,0.9711750914493832,0.9723241753308806,0.9732709664555586,0.9740513680208837,0.9746948258721149,0.9752255201293839,0.9756633041313181,0.9760245157929343,0.9763226104424729,0.9765686434786517,0.9767717350597422,0.9769393978034835,0.9770778247534118,0.9771921226946261,0.977286503767533,0.9773644400212899,0.9774288045926853,0.9774819610837804,0.9775258627182135,0.9775621218732096,0.9775920717065006,0.9776168073608065,0.9776372383115078,0.9776541139742226,0.9776680532209031,0.9776795671363175
beta=1.80,8.24714996294773e-09,1.7214306091695164e-09,5.9755192235444454e-06,0.004505419393407983,0.3304003269624253,0.5567873788379301,0.6672827917587887,0.7392355296093239,0.7906406127452505,0.8292040409200864,0.8589782302436195,0.882386538287697,0.9010118287298625,0.9159542290112928,0.9280127556294395,0.9377861940589025,0.9457334744026793,0.9522121209742127,0.9575039975745199,0.9618334357551332,0.965379976259482,0.9682882815186141,0.9706752970382797,0.9726358965140945,0.9742472227512803,0.9755722085458302,0.9766622093321203,0.9775592393895924,0.9782977009580297,0.9789057350477426,0.9794065507752479,0.9798191190907806,0.9801590469876781,0.9804391644149644,0.9806700233711354,0.9808603058498656,0.981017157707248,0.9811464622002048,0.9812530643057684,0.9813409548236148,0.9814134215766555,0.9814731736665003,0.9815224436405767,0.9815630715347584,0.9815965740309328,0.9816242013823462,0.9816469842835477,0.9816657724747178,0.9816812665512094,0.9816940441802505,0.9817045817018747
beta=1.90,3.510589913213735e-08,1.2504866586660057e-09,1.3772944085665983e-05,0.012235980317042094,0.4026546492860553,0.5879983037353154,0.6881545150505078,0.7547515149423161,0.8028919048902802,0.8392878684527615,0.8675428996045611,0.889844982211592,0.907641283716348,0.9219483622530202,0.9335111611406414,0.9428921160451658,0.9505249207364153,0.9567491080088139,0.9618334357551332,0.9659922123961879,0.9693981842748991,0.9721897616899835,0.9744796117996465,0.9763590895683096,0.9779025580449561,0.979170636192987,0.9802128449937906,0.9810697019685369,0.9817743590847846,0.982353985278795,0.9828308600035893,0.9832232667460961,0.983546203676284,0.9838119980236543,0.9840307889104634,0.9842109043437616,0.9843591920430043,0.9844812839630789,0.9845818131376243,0.9846645915559029,0.9847327561584156,0.9847888887275789,0.9848351143848589,0.9848731825398591,0.9849045334335385,0.9849303528463925,0.9849516170883936,0.9849691300220453,0.9849835535505963,0.9849954327232577,0.985005216393939
beta=2.00,1.704710722583158e-08,2.5739290532289516e-08,3.101167445374031e-05,0.031703202037325906,0.4525230984009311,0.6136472881190242,0.7055213798364052,0.7676820156752708,0.8130863899055419,0.8476584468048607,0.8746342469528865,0.8960057375446138,0.9131059536402925,0.9268807665516408,0.938029276826585,0.9470830492221676,0.9544543373977048,0.9604674316580872,0.965379976259482,0.9693981842748991,0.9726880012005406,0.9753836496209989,0.977593800936117,0.9794068704309291,0.9808948783240644,0.9821165626185897,0.9831199146653022,0.9839441389474565,0.9846213982229222,0.9851780021665789,0.9856355204791243,0.9860116467717441,0.9863208979502223,0.9865751909641195,0.9867843112199921,0.9869562960674427,0.987097748672438,0.987214095131923,0.9873097952412188,0.9873885153608704,0.9874532685126667,0.9875065339739053,0.9875503520642971,0.9875863986131814,0.9876160522411852,0.9876404472111378,0.9876605166135838,0.9876770279075783,0.9876906122916421,0.9877017889274093,0.987710984860938
beta=2.10,3.5528280317720373e-09,5.047051443440864e-09,6.839578725070794e-05,0.07579662501557527,0.49094386485944297,0.6350068394360225,0.7200858516624711,0.7785204151079463,0.8216086930416212,0.8546336006062843,0.8805248892268982,0.901108867093542,0.9176214368200244,0.9309480926675032,0.9417487223728175,0.950528480517685,0.9576813252733775,0.9635185404447819,0.9682882815186141,0.9721897616899835,0.9753836496209989,0.9779999408174058,0.9801444754258212,0.9819029267543081,0.9833454004506714,0.9845290509289861,0.9855005867570857,0.9862981930734335,0.9869531153099526,0.9874909901665133,0.9879327811577915,0.9882957022355838,0.9885938675989762,0.9888388493631628,0.9890401485976638,0.989205563471441,0.9893414990962328,0.9894532138674271,0.9895450269764816,0.9896204865887893,0.9896825078252866,0.9897334857823707,0.9897753881695306,0.9898098314567453,0.9898381436175786,0.9898614157739304,0.9898805446031843,0.9898962671238969,0.9899091892401091,0.9899198091835875,0.9899285367762349
beta=2.20,1.0034226005650737e-08,1.150485628986786e-08,0.00014788985121705345,0.15428004010972196,0.5220779457929442,0.6529746335556562,0.7323789043761616,0.7876493307859889,0.8287609772984352,0.8604648990785704,0.8854316622904193,0.9053459837161214,0.9213602515454038,0.9343080279066379,0.9448154147068365,0.9533648267466549,0.9603345599929308,0.9660246813143355,0.9706752970382797,0.9744796117996465,0.977593800936117,0.9801444754258212,0.9822345569653093,0.9839479083963505,0.9853528465245457,0.9865051969958879,0.9874505858466217,0.9882263294677138,0.9888629814044879,0.9893855330383765,0.9898144848395274,0.9901666353746149,0.9904557780894344,0.9906931900683368,0.9908881350638851,0.9910482270734777,0.9911796994238904,0.991287672531554,0.9913763494295297,0.991449176065104,0.9915089944552368,0.9915581263530909,0.9915984784257887,0.9916316245751685,0.9916588499979258,0.9916812121631283,0.9916995795944211,0.9917146657230623,0.9917270566783903,0.991737237794533,0.9917455970227679
beta=2.30,4.3894510914910256e-08,1.2059799381347602e-08,0.0003140478192682483,0.2460085432841348,0.5479344546539983,0.6682109815224809,0.7428105748255315,0.7953700624674968,0.8347835244822494,0.8653535008495719,0.8895285418674863,0.9088711307888432,0.9244613781263198,0.9370877847637974,0.9473471935948096,0.9557024215294094,0.9625181809495209,0.9680849432678093,0.9726358965140945,0.9763590895683096,0.9794068704309291,0.9819029267543081,0.9839479083963505,0.9856238556659653,0.9869977318026685,0.9881242480083938,0.9890480787120187,0.9898058247941967,0.9904274242956239,0.990937394310127,0.9913558225208235,0.9916991619379645,0.9919809173288319,0.9922121446843493,0.9924019148667163,0.992557669149704,0.992685504782375,0.9927904354431866,0.9928765612357375,0.992947258080621,0.9930052907524537,0.9930529275746651,0.9930920316113926,0.9931241315313737,0.9931504820066492,0.9931721128786066,0.9931898695013293,0.9932044490680245,0.9932164162681878,0.993226240328793,0.9932343050597989
beta=2.40,1.4106930457113975e-08,2.5522303936931223e-08,0.0006552384527224175,0.31883619420285714,0.569732234409221,0.681216218222123,0.75170302767572,0.8019228853792809,0.8398693560519818,0.8694616291245992,0.892956146293886,0.9118090353180571,0.9270374082981306,0.9393904977769166,0.9494396943894031,0.9576308112024913,0.964316789327867,0.9697798791491834,0.9742472227512803,0.9779025580449561,0.9808948783240644,0.9833454004506714,0.9853528465245457,0.9869977318026685,0.9883458193431514,0.9894509316998054,0.9903569592012654,0.991099841822887,0.991709026498599,0.99220862895697,0.9926183907647956,0.9929544887043378,0.9932301850391699,0.9934563407842564,0.9936418687897456,0.9937940710490422,0.9939189380552674,0.9940213817767796,0.9941054307466337,0.9941743891884024,0.9942309674083474,0.9942773886649836,0.9943154767743683,0.9943467279337723,0.9943723696135193,0.9943934092964478,0.9944106730886901,0.9944248377129498,0.9944364600558434,0.9944459964383295,0.9944538212511462
beta=2.50,3.2101333813372435e-09,5.138715497565727e-08,0.0013441161883120945,0.37049018897664665,0.5883062498097275,0.6923781399513587,0.7593129876547848,0.8075014553714884,0.8441748634713565,0.8729210570158527,0.8958288358174068,0.914261192591513,0.9291799871211592,0.9413001282927952,0.9511707701663329,0.9592229286498547,0.9657993260535517,0.9711750914493832,0.9755722085458302,0.979170636192987,0.9821165626185897,0.9845290509289861,0.9865051969958879,0.9881242480083938,0.9894509316998054,0.990538109284,0.9914294666744593,0.9921600563752121,0.9927589886583357,0.9932500263992297,0.9936526303262244,0.9939827461659219,0.9942534615841695,0.9944754490459323,0.9946574894738576,0.9948067770506372,0.9949292077056949,0.9950296152217047,0.9951119624674125,0.9951794989656769,0.9952348892569275,0.9952803182997577,0.9953175773097708,0.9953481364423126,0.9953732004378656,0.9953937575601638,0.9954106182894628,0.9954244473256084,0.9954357898423913,0.9954450929689898,0.9954527241603763
beta=2.60,6.18992990197853e-09,8.77423360634566e-08,0.0027114472094210695,0.4092879189384777,0.6042653584650054,0.7020027117123374,0.7658474465382091,0.8122632621299954,0.8478276801572782,0.8758394649007123,0.8982401052791108,0.9163105507540135,0.9309640091491257,0.9428852689859545,0.952604005251694,0.9605383190281794,0.9670220620248601,0.9723241753308806,0.9766622093321203,0.9802128449937906,0.9831199146653022,0.9855005867570857,0.9874505858466217,0.9890480787120187,0.9903569592012654,0.9914294666744593,0.9923084043337447,0.993028777791335,0.9936192085909902,0.9941031615690679,0.9944998489567758,0.9948250284373167,0.9950916172268193,0.9953101659446106,0.9954893354500977,0.9956362270184116,0.9957566540006043,0.9958553879550494,0.9959363342774646,0.9960027074079447,0.9960571236959791,0.9961017396689726,0.9961383206219481,0.9961683137807357,0.9961929057832525,0.996213069276513,0.9962296018098424,0.9962431572957603,0.9962542725492879,0.9962633855285096,0.9962708575102512
beta=2.70,2.1772332159386565e-08,1.370239677278562e-07,0.005376787483964307,0.4404039650632665,0.6180701671610581,0.7103349910890552,0.7714749722597747,0.8163373672050772,0.8509326517065057,0.8783053529049942,0.9002667482012368,0.9180251657092497,0.9324508965584898,0.9442021244733457,0.953791468416636,0.9616257229924531,0.9680310419878076,0.9732709664555586,0.9775592393895924,0.9810697019685369,0.9839441389474565,0.9862981930734335,0.9882263294677138,0.9898058247941967,0.991099841822887,0.9921600563752121,0.993028777791335,0.993740646944842,0.9943240133929013,0.994802087014587,0.9951938736859584,0.9955149766049564,0.9957781373407837,0.995993814965979,0.9961706434161806,0.9963155545521742,0.9964343387877301,0.9965316943118515,0.9966114936884761,0.9966769034452553,0.9967305186623571,0.996774466941399,0.9968104910441008,0.9968400199910697,0.9968642249506402,0.9968840658972962,0.996900329631098,0.9969136614165985,0.9969245895080793,0.9969335473476814,0.996940890204071
beta=2.80,2.8602060608839963e-08,2.3587750885845082e-07,0.010465671827403544,0.46634912247175575,0.630078530541067,0.717573720331446,0.7763340273497753,0.8198302500020239,0.8535763230826293,0.8803917645338012,0.901972078092166,0.919461117702792,0.9336911385255123,0.9452968663318772,0.9547758917638344,0.9625251201897074,0.9688639918092647,0.9740513680208837,0.9782977009580297,0.9817743590847846,0.9846213982229222,0.9869531153099526,0.9888629814044879,0.9904274242956239,0.991709026498599,0.9927589886583357,0.9936192085909902,0.9943240133929013,0.9949015047272181,0.9953746803279636,0.9957624131738405,0.9960801174069644,0.9963404636780336,0.9965538222975129,0.9967286612707036,0.996871937202486,0.9969893531792302,0.9970855708666503,0.9971644213684351,0.9972290398639165,0.997281994423267,0.9973253928761698,0.9973609588245413,0.9973901059744025,0.9974139928424566,0.997433568041337,0.9974496116584171,0.9974627597775163,0.9974735350248879,0.9974823656776238,0.9974896027031651
beta=2.90,6.433261645621968e-09,3.882007297839607e-07,0.019925402556426386,0.48845927827880886,0.6405739738674966,0.7238816366936021,0.7805391800157785,0.8228302495322489,0.8558305758233273,0.8821592458120956,0.9034084891442135,0.9206647160818036,0.9347264044027905,0.9462075074162131,0.9555924113993944,0.9632693415278308,0.9695518812075995,0.9746948258721149,0.9789057350477426,0.982353985278795,0.9851780021665789,0.9874909901665133,0.9893855330383765,0.990937394310127,0.99220862895697,0.9932500263992297,0.9941031615690679,0.994802087014587,0.9953746803279636,0.9958438091657786,0.99622815880814,0.9965430474771834,0.9968010608195464,0.9970124687766397,0.9971856827237003,0.9973276045519373,0.9974438927106573,0.9975391691145887,0.9976172352717062,0.9976812003283416,0.9977336045934545,0.9977765501080079,0.9978117386835347,0.9978405670496056,0.9978641942481475,0.9978835536607396,0.9978994194430861,0.9979124165140524,0.9979230660920079,0.9979317921898126,0.9979389422177648
beta=3.00,2.572987156668205e-09,6.221863582123177e-07,0.03682570617377301,0.5075579289628975,0.6497846103354911,0.72939329694898,0.7841858470862655,0.8254110853910884,0.8577552495030357,0.8836581250684528,0.9046194458483355,0.9216743046471713,0.9355911018434311,0.9469653879954931,0.9562699647049934,0.9638853914466212,0.9701201544372268,0.9752255201293839,0.9794065507752479,0.9828308600035893,0.9856355204791243,0.9879327811577915,0.9898144848395274,0.9913558225208235,0.9926183907647956,0.9936526303262244,0.9944998489567758,0.9951938736859584,0.9957624131738405,0.99622815880814,0.9966096958043855,0.9969222448004541,0.9971783336323681,0.9973881208231348,0.9975599849737332,0.9977007825760106,0.9978161305022278,0.9979106291990631,0.9979880396576233,0.9980514663685838,0.9981034290845963,0.998145942185432,0.9981808314306883,0.9982094474659869,0.9982328583128948,0.9982520377825057,0.9982677507191822,0.9982806236827919,0.998291169958077,0.9982998100326217,0.9983068883664848
beta=3.10,5.699815286419607e-09,9.783742521696226e-07,0.06508858065884349,0.5242123235987588,0.6578965330915542,0.7342207938564701,0.787353953639641,0.827634511316399,0.8594004451090688,0.8849304230977858,0.905641129727299,0.9225216912419473,0.9363137205842698,0.9475964498639629,0.9568324173114741,0.9643955086521908,0.9705897399314987,0.9756633041313181,0.9798191190907806,0.9832232667460961,0.9860116467717441,0.9882957022355838,0.9901666353746149,0.9916991619379645,0.9929544887043378,0.9939827461659219,0.9948250284373167,0.9955149766049564,0.9960801174069644,0.9965430474771834,0.9969222448004541,0.9972328430584347,0.9974872898840282,0.9976957227084174,0.9978664742555647,0.9980063471599235,0.9981209730207722,0.9982147550218374,0.9982916437707884,0.9983546277460488,0.9984062749750252,0.9984485376399365,0.9984831576284222,0.9985115170712919,0.9985347481233147,0.9985537813227605,0.9985693697963969,0.9985821393760854,0.9985925998097144,0.9986011615067014,0.9986081807556805
