b,u_inf,m_inf,L_A,profit_total
2.0,0.9999695502186648,0.9999695502186648,0.9999695502186648,-53.17274852789507
2.0500000000000003,0.9999724484319276,0.9999724484319276,0.9999724484319276,-58.09885050439202
2.1,0.9999750706709095,0.9999750706709095,0.9999750706709095,-63.02563722232754
2.15,0.9999774429014008,0.9999774429014008,0.9999774429014008,-67.9530063962815
2.2,0.9999795884117288,0.9999795884117288,0.9999795884117288,-72.88087063130557
2.25,0.9999815311089687,0.9999815311089687,0.9999815311089687,-77.80915516937833
2.3000000000000003,0.9999832881543923,0.9999832881543923,0.9999832881543923,-82.73779589358662
2.35,0.999984879092867,0.999984879092867,0.999984879092867,-87.66673782997285
2.4000000000000004,0.999986320333074,0.999986320333074,0.999986320333074,-92.59593379074818
2.45,0.9999876211767451,0.9999876211767451,0.9999876211767451,-97.52534326073925
2.5,0.9999888008717017,0.9999888008717017,0.9999888008717017,-102.4549315040507
2.5500000000000003,0.9999898665559147,0.9999898665559147,0.9999898665559147,-107.38466866630421
2.6,0.9999908307432284,0.9999908307432284,0.9999908307432284,-112.31452915785158
2.6500000000000004,0.9999917026330499,0.9999917026330499,0.9999917026330499,-117.24449106139932
2.7,0.9999924921321225,0.9999924921321225,0.9999924921321225,-122.17453563044288
2.75,0.9999932060530587,0.9999932060530587,0.9999932060530587,-127.10464685002054
2.8000000000000003,0.9999938500972926,0.9999938500972926,0.9999938500972926,-132.03481107087936
2.85,0.9999944372759494,0.9999944372759494,0.9999944372759494,-136.9650167238808
2.9000000000000004,0.9999949666182731,0.9999949666182731,0.9999949666182731,-141.8952539331337
2.95,0.9999954457452329,0.9999954457452329,0.9999954457452329,-146.82551441256967
3.0,0.999995879068396,0.999995879068396,0.999995879068396,-151.75579114870507
3.0500000000000003,0.9999962708851933,0.9999962708851933,0.9999962708851933,-156.68607827839435
3.1,0.9999966257107002,0.9999966257107002,0.9999966257107002,-161.6163709530232
3.1500000000000004,0.9999969447237813,0.9999969447237813,0.9999969447237813,-166.54666511611373
3.2,0.9999972355297125,0.9999972355297125,0.9999972355297125,-171.47695746104864
3.25,0.9999974984694742,0.9999974984694742,0.9999974984694742,-176.40724529767215
3.3000000000000003,0.9999977362838917,0.9999977362838917,0.9999977362838917,-181.337526467878
3.35,0.9999979514120204,0.9999979514120204,0.9999979514120204,-186.2677992671251
3.4000000000000004,0.9999981460398837,0.9999981460398837,0.9999981460398837,-191.19806237697549
3.45,0.9999983221338316,0.9999983221338316,0.9999983221338316,-196.12831480653878
3.5,0.9999984814662896,0.9999984814662896,0.9999984814662896,-201.05855584172616
3.5500000000000003,0.9999986256369701,0.9999986256369701,0.9999986256369701,-205.98878500123266
3.6,0.9999987560909445,0.9999987560909445,0.9999987560909445,-210.91900199850807
3.6500000000000004,0.9999988741343679,0.9999988741343679,0.9999988741343679,-215.84920670892615
3.7,0.9999989809483039,0.9999989809483039,0.9999989809483039,-220.7793991414857
3.75,0.9999990776010264,0.9999990776010264,0.9999990776010264,-225.70957941446352
3.8000000000000003,0.9999991651904793,0.9999991651904793,0.9999991651904793,-230.63974772534982
3.85,0.9999992450114465,0.9999992450114465,0.9999992450114465,-235.56990438352966
3.9000000000000004,0.9999993214714711,0.9999993214714711,0.9999993214714711,-240.50004995725993
3.95,0.9999993871811621,0.9999993871811621,0.9999993871811621,-245.43018439764168
4.0,0.9999994457910061,0.9999994457910061,0.9999994457910061,-250.36030807823084
4.05,0.9999994994612129,0.9999994994612129,0.9999994994612129,-255.2904215714414
4.1000000000000005,0.9999995461709857,0.9999995461709857,0.9999995461709857,-260.22052545515896
4.15,0.9999995902889484,0.9999995902889484,0.9999995902889484,-265.15062015617707
4.2,0.9999996417949853,0.9999996417949853,0.9999996417949853,-270.0807058502759
4.25,0.9999996639883632,0.9999996639883632,0.9999996639883632,-275.0107834705606
4.3,0.999999699135896,0.999999699135896,0.999999699135896,-279.9408529319309
4.3500000000000005,0.999999738803626,0.999999738803626,0.999999738803626,-284.8709145653701
4.4,0.9999997574873611,0.9999997574873611,0.9999997574873611,-289.8009692972397
