scenario,alpha,beta,budget,rho,bBU,bBM,u_A_inf,m_A_inf,u_B_inf,m_B_inf,L_B,C,state
对称网络效应,0.8,0.8,0.8,0.39,0.31200000000000006,0.488,0.08935194337497623,0.0678326509116781,0.9106480566250238,0.9321673490883219,0.9214077028566728,0.8428154057133457,平台B锁定
对称网络效应,0.8,0.8,0.8,0.4,0.32000000000000006,0.48,0.08819998212780632,0.06865254990984355,0.9118000178721937,0.9313474500901564,0.921573733981175,0.8431474679623501,平台B锁定
对称网络效应,0.8,0.8,0.8,0.41000000000000003,0.32800000000000007,0.472,0.08706615264885315,0.06948613295689424,0.9129338473511468,0.9305138670431058,0.9217238571971264,0.8434477143942527,平台B锁定
对称网络效应,0.8,0.8,0.8,0.42,0.336,0.4640000000000001,0.08595020375965139,0.07033359449693842,0.9140497962403487,0.9296664055030616,0.921858100871705,0.8437162017434101,平台B锁定
对称网络效应,0.8,0.8,0.8,0.43,0.34400000000000003,0.45600000000000007,0.08485188701907147,0.07119513146784152,0.9151481129809286,0.9288048685321585,0.9219764907565435,0.8439529815130871,平台B锁定
对称网络效应,0.8,0.8,0.8,0.44,0.35200000000000004,0.44800000000000006,0.08377095678763712,0.07207094337680163,0.9162290432123629,0.9279290566231984,0.9220790499177807,0.8441580998355612,平台B锁定
对称网络效应,0.8,0.8,0.8,0.45,0.36000000000000004,0.44000000000000006,0.08270717178111282,0.07296123382142972,0.9172928282188871,0.9270387661785703,0.9221657971987287,0.8443315943974574,平台B锁定
对称网络效应,0.8,0.8,0.8,0.46,0.36800000000000005,0.43200000000000005,0.08166029258350753,0.07386620813477021,0.9183397074164925,0.9261337918652298,0.9222367496408611,0.8444734992817222,平台B锁定
对称网络效应,0.8,0.8,0.8,0.47000000000000003,0.37600000000000006,0.42400000000000004,0.08063008329519789,0.07478607499258147,0.9193699167048022,0.9252139250074185,0.9222919208561103,0.8445838417122207,平台B锁定
对称网络效应,0.8,0.8,0.8,0.48,0.384,0.41600000000000004,0.07961631131079001,0.07572104623563686,0.9203836886892099,0.9242789537643632,0.9223313212267865,0.8446626424535731,平台B锁定
对称网络效应,0.8,0.8,0.8,0.49,0.392,0.40800000000000003,0.0786187468345012,0.07667133642893481,0.9213812531654988,0.9233286635710651,0.922354958368282,0.8447099167365639,平台B锁定
对称网络效应,0.8,0.8,0.8,0.5,0.4,0.4,0.077637163195645,0.077637163195645,0.922362836804355,0.922362836804355,0.922362836804355,0.84472567360871,平台B锁定
