,b0=0.00,b0=0.12,b0=0.25,b0=0.38,b0=0.50,b0=0.62,b0=0.75,b0=0.88,b0=1.00,b0=1.12,b0=1.25,b0=1.38,b0=1.50,b0=1.62,b0=1.75,b0=1.88,b0=2.00,b0=2.12,b0=2.25,b0=2.38,b0=2.50,b0=2.62,b0=2.75,b0=2.88,b0=3.00,b0=3.12,b0=3.25,b0=3.38,b0=3.50,b0=3.62,b0=3.75,b0=3.88,b0=4.00,b0=4.12,b0=4.25,b0=4.38,b0=4.50,b0=4.62,b0=4.75,b0=4.88,b0=5.00
Ts=20.00,0.0016951248220892152,0.0016951256777247585,0.0016951249219820698,0.0016951252053486337,0.001695124984599237,0.0016951250855333998,0.0016951249753192211,0.9983048998283433,0.9983049086422346,0.9983049026705267,0.9983048972735427,0.9983048923445694,0.9983048903126087,0.998304899074509,0.998304885351522,0.9983048930123779,0.9983048846121287,0.9983048855727698,0.9983048881592749,0.9983048845539714,0.9983048921870139,0.9983049023342037,0.9983049026189851,0.998304902011524,0.9983049024181105,0.9983049026440342,0.9983048957838873,0.9983048855549361,0.99830488473083,0.9983049025559867,0.9983049022141174,0.9983049023757549,0.9983048901865677,0.9983049020399754,0.9983048888433387,0.9983048849212026,0.9983048849491073,0.9983048844730162,0.9983048846619268,0.9983049026222294,0.9983048948556975
Ts=21.00,0.0016951248220892152,0.0016951250919562042,0.001695125491956912,0.0016951250152390269,0.0016951251720376322,0.0016951250000672043,0.0016951251317073785,0.9983048853253749,0.9983048990646964,0.9983048995411167,0.9983049123612817,0.9983049196782011,0.998304910643471,0.9983049071071372,0.9983049023416593,0.9983049010911607,0.9983049213218624,0.9983048979928504,0.9983049072521891,0.9983049067016281,0.9983049176044967,0.9983049070512108,0.9983049030313161,0.9983048976120837,0.9983048979404523,0.9983049014166407,0.9983049126852169,0.9983049001048152,0.9983049073677995,0.9983049007473231,0.9983049010762358,0.9983049000220068,0.9983049064313014,0.9983049059968054,0.9983049018700011,0.9983049094775619,0.9983049020113932,0.9983049470619895,0.9983049475129432,0.9983049023475563,0.998304899709011
Ts=22.00,0.0016951248220892152,0.001695125501307848,0.0016951249323398376,0.0016951248430212753,0.0016951248378279916,0.0016951250076801708,0.0016951251676149079,0.9983048933187558,0.9983049045798228,0.9983048912895057,0.9983048865525996,0.9983048916773657,0.9983048873633562,0.9983048895307267,0.9983048923370794,0.9983048933417166,0.9983048904044911,0.9983048900620074,0.9983048972772819,0.9983048950334611,0.9983049615630676,0.9983048978568232,0.9983049719580748,0.9983048931804549,0.9983049016916201,0.9983048978526827,0.9983048958440232,0.9983048996804342,0.9983048924026009,0.9983048927687697,0.9983048978033311,0.9983048880223728,0.998304887712324,0.9983048995379126,0.998304892489419,0.9983049242213716,0.9983048968218733,0.9983048935792822,0.9983048898727093,0.9983048974208585,0.9983048880603951
Ts=23.00,0.0016951248220892152,0.0016951248632968933,0.0016951248567608466,0.0016951248722110533,0.0016951248134344295,0.00169512537504795,0.0016951251524348324,0.9983049258556016,0.9983049740473571,0.998304900617295,0.9983048917360764,0.9983048823454144,0.9983048867397172,0.9983048818585658,0.9983048830453806,0.9983048883447132,0.9983048895366793,0.9983048819271102,0.9983048896700286,0.9983048844383301,0.9983048822124032,0.9983048822323843,0.9983048817449169,0.9983048826966449,0.9983048856446974,0.9983048821218583,0.9983048822270888,0.9983048820907113,0.9983048825391361,0.9983048826850871,0.998304884979876,0.9983049379481492,0.9983048826027392,0.9983048822259684,0.9983048825144629,0.9983048832438249,0.9983048844187942,0.9983048844403306,0.9983048920065346,0.9983048822469761,0.9983048822490541
Ts=24.00,0.0016951248220892152,0.001695124879702324,0.00169512529839115,0.0016951249348274556,0.0016951249839493295,0.0016951248399751533,0.0016951251251620836,0.9983048955362347,0.9983048963437123,0.998304928649215,0.9983049383094295,0.9983049390814535,0.998304924265767,0.9983048988020202,0.9983049035057897,0.998304902633016,0.9983048878442231,0.9983048963272843,0.9983048894892375,0.9983048878714995,0.9983048899681527,0.9983048967880324,0.9983048886061437,0.9983048906475244,0.9983048882680293,0.9983048866724451,0.9983048877339121,0.9983048905289842,0.9983048924449602,0.9983048985485576,0.9983048856628978,0.9983048918066362,0.9983048883106868,0.9983048916272058,0.9983048894369528,0.9983048914070694,0.9983048893118999,0.9983048906261812,0.9983048855960172,0.9983048950805599,0.9983049049928467
Ts=25.00,0.0016951248220892152,0.0016951248300673218,0.001695124912264022,0.0016951250021242984,0.0016951249863651403,0.0016951255077210267,0.0016951256749599272,0.9983049120350128,0.9983048919068587,0.9983048906605829,0.9983048910864526,0.9983048957027633,0.9983048917846217,0.9983049063113646,0.9983049463240404,0.9983048921395729,0.9983049122030081,0.9983049100380855,0.9983049003706868,0.9983048959771932,0.998304897131906,0.9983049108993002,0.9983049104077178,0.9983049096919088,0.998304899293994,0.9983049123842279,0.9983049032355751,0.9983049094813985,0.9983049108563552,0.9983049139808915,0.9983049127235214,0.9983049100644501,0.9983049139022225,0.9983049131570634,0.9983049203033524,0.9983049098478697,0.9983049125320024,0.9983049096568799,0.9983049159399927,0.9983049098038609,0.9983049122559685
Ts=26.00,0.0016951248220892152,0.0016951249756178121,0.0016951251531004444,0.0016951255082720063,0.0016951258930364428,0.001695124861097184,0.0016951248960527822,0.998304942389331,0.9983049518783925,0.9983048979702368,0.9983048925455149,0.9983049027132536,0.9983048886523908,0.9983048893197143,0.998304896413226,0.9983048864564564,0.9983048864396561,0.9983048865181146,0.9983048838545602,0.9983048869130626,0.9983048866227794,0.9983048866656179,0.9983048867163671,0.9983048897526487,0.9983048884321771,0.9983048866228416,0.998304886622669,0.9983048867095217,0.998304886367765,0.998304907479243,0.9983048863637208,0.9983048865137806,0.9983048866208579,0.998304887998419,0.9983049125468716,0.9983048865912502,0.9983048832659729,0.998304887935713,0.9983048832734284,0.9983048845879358,0.9983048846317378
Ts=27.00,0.0016951248220892152,0.0016951253049527517,0.0016951258435385103,0.0016951248070509097,0.001695124954602443,0.0016951249269111892,0.0016951249048397503,0.9983048946406141,0.9983049353552176,0.9983049528230639,0.9983049300619566,0.998304916315544,0.9983049424419007,0.998304927651328,0.9983048996740717,0.9983049122756528,0.9983049117936326,0.9983049151868318,0.9983048954159705,0.9983049011904519,0.9983048971157013,0.9983049085221571,0.9983048989887258,0.9983048826866774,0.9983048831359282,0.9983048817522885,0.9983048996259957,0.9983049009672912,0.9983048975404435,0.9983048953692827,0.9983048958547915,0.9983048991050575,0.9983048831174516,0.9983048822666124,0.9983048983464136,0.9983048813421215,0.9983048969038875,0.9983048962971904,0.9983048813146791,0.9983048979016824,0.9983048819188647
Ts=28.00,0.0016951248220892152,0.0016951248151784424,0.0016951248053078524,0.0016951248756773628,0.0016951249805987531,0.0016951248300265756,0.0016951248589126301,0.9983048831862449,0.9983048870331475,0.9983048936879554,0.9983048965846333,0.9983049124242124,0.9983048979737983,0.9983048976943631,0.9983048942191417,0.9983049406007388,0.9983049388973774,0.9983049314881817,0.9983049264743161,0.9983049372283306,0.9983049377195512,0.9983049348185693,0.998304933803161,0.9983049293226623,0.9983049222896521,0.9983048913602508,0.9983049326262251,0.9983049326473687,0.9983049357392821,0.998304939818747,0.998304932615661,0.998304891581571,0.9983049335760494,0.9983049389729368,0.998304929048802,0.9983049288475099,0.9983049332114234,0.998304935597471,0.9983048945203675,0.9983048930027231,0.9983049282677935
Ts=29.00,0.0016951248220892152,0.0016951252721615453,0.0016951248535113919,0.0016951251223323361,0.001695125419313579,0.0016951253967360832,0.0016951248783068802,0.9983048915676511,0.9983048900974725,0.9983048898696193,0.9983048898265512,0.9983048902135119,0.9983048900940164,0.9983048918367793,0.9983048903630867,0.9983048911054914,0.9983048936893667,0.9983048918660598,0.9983048933375056,0.9983048910772405,0.998304892543232,0.9983048936611566,0.9983048937335796,0.9983048946941795,0.9983048997801731,0.9983048943624566,0.9983048943399243,0.9983048942805438,0.998304892027869,0.9983048932132946,0.9983048932790115,0.9983048941002648,0.9983048933729685,0.9983048935256609,0.9983048935068148,0.9983048933242564,0.9983048940564235,0.9983048919632581,0.9983048935376321,0.9983048918572515,0.9983048938162763
