scenario,alpha,beta,b_user,b_merchant,total_subsidy,final_B_user_share,final_B_merchant_share,final_B_average_share,success,state
对称强网络效应,1.2,1.2,0.57,0.06,0.6299999999999999,0.05287206592905794,0.012132720432133821,0.032502393180595876,0,平台失败
对称强网络效应,1.2,1.2,0.6,0.06,0.6599999999999999,0.05932705570092543,0.012815189099377688,0.03607112240015156,0,平台失败
对称强网络效应,1.2,1.2,0.63,0.06,0.69,0.06668814423782574,0.013640897809589127,0.040164521023707433,0,平台失败
对称强网络效应,1.2,1.2,0.66,0.06,0.72,0.07513054615107853,0.01465430516975558,0.044892425660417054,0,平台失败
对称强网络效应,1.2,1.2,0.69,0.06,0.75,0.08488825196189256,0.01592084297385129,0.05040454746787193,0,平台失败
对称强网络效应,1.2,1.2,0.72,0.06,0.78,0.09629040750814202,0.017541955792656494,0.05691618165039926,0,平台失败
对称强网络效应,1.2,1.2,0.75,0.06,0.81,0.10983588178515061,0.019686741257883875,0.06476131152151723,0,平台失败
对称强网络效应,1.2,1.2,0.78,0.06,0.8400000000000001,0.12637194547113495,0.022669509993025534,0.07452072773208024,0,平台失败
对称强网络效应,1.2,1.2,0.81,0.06,0.8700000000000001,0.9996167600107448,0.9948972044949631,0.997256982252854,1,平台锁定
对称强网络效应,1.2,1.2,0.84,0.06,0.8999999999999999,0.9996549742884384,0.9948988484757506,0.9972769113820945,1,平台锁定
对称强网络效应,1.2,1.2,0.87,0.06,0.9299999999999999,0.9996893767628099,0.9949003280177495,0.9972948523902797,1,平台锁定
对称强网络效应,1.2,1.2,0.9,0.06,0.96,0.9997203479037775,0.9949016596204605,0.997311003762119,1,平台锁定
对称强网络效应,1.2,1.2,0.93,0.06,0.99,0.9997482301578289,0.9949028581180848,0.9973255441379568,1,平台锁定
对称强网络效应,1.2,1.2,0.96,0.06,1.02,0.9997733317569926,0.9949039368494526,0.9973386343032226,1,平台锁定
对称强网络效应,1.2,1.2,0.99,0.06,1.05,0.9997959301445452,0.9949049078102619,0.9973504189774035,1,平台锁定
对称强网络效应,1.2,1.2,1.02,0.06,1.08,0.9998162750563391,0.9949057817895357,0.9973610284229374,1,平台锁定
对称强网络效应,1.2,1.2,1.05,0.06,1.11,0.9998345912926356,0.9949065684919887,0.9973705798923121,1,平台锁定
对称强网络效应,1.2,1.2,1.08,0.06,1.1400000000000001,0.9998510812117383,0.994907276647796,0.9973791789297671,1,平台锁定
对称强网络效应,1.2,1.2,1.11,0.06,1.1700000000000002,0.9998659269735224,0.9949079141111028,0.9973869205423126,1,平台锁定
对称强网络效应,1.2,1.2,1.14,0.06,1.2,0.9998792925580848,0.9949084879484524,0.9973938902532686,1,平台锁定
对称强网络效应,1.2,1.2,1.17,0.06,1.23,0.9998913255821644,0.9949090045181892,0.9974001650501768,1,平台锁定
对称强网络效应,1.2,1.2,1.2,0.06,1.26,0.9999021589336892,0.9949094695417775,0.9974058142377333,1,平台锁定
