lambda_q,decay,strategy,final_A_user_share,final_A_merchant_share,final_B_user_share,final_B_merchant_share,final_B_average_share,final_quality_B,max_shortage,avg_shortage,profit,state
0.05,0.04,长期策略,0.5602471402354245,0.20757006880359904,0.43975285976457545,0.7924299311964009,0.6160913954804882,0.29999817875245705,9.9999980000002,1.0606717011740454,11.030394841661527,市场倾斜
0.05,0.04,动态策略,0.5510680677647155,0.17995981858666926,0.4489319322352845,0.8200401814133307,0.6344860568243076,0.19999878583497113,9.9999980000002,0.9253005922944931,28.28066539991235,市场倾斜
0.05,0.04,纯质量投资,0.46069067555435445,0.07218557979593711,0.5393093244456455,0.9278144202040629,0.7335618723248543,0.9999939291748555,9.9999980000002,1.5265134468196044,0.6673681050525893,市场倾斜
0.08,0.005,贪心策略,0.4224086722354327,0.0552930793218818,0.5775913277645672,0.9447069206781182,0.7611491242213427,0.9944469501535391,9.9999980000002,1.7769020959204165,-7.222186127475112,市场倾斜
0.08,0.005,长期策略,0.3140850874966399,0.0004563213464938251,0.6859149125033601,0.9995436786535061,0.8427292955784331,2.9833408504606136,9.9999980000002,2.6557840914432878,51.62881762088902,市场倾斜
0.08,0.005,动态策略,0.3650699417898753,0.002841761946430943,0.6349300582101247,0.9971582380535691,0.8160441481318469,1.9888939003070782,9.9999980000002,2.0097656279687257,55.565828600041996,市场倾斜
0.08,0.005,纯质量投资,0.32458268177864225,0.000857631715803271,0.6754173182213578,0.9991423682841968,0.8372798432527773,3.0,9.9999980000002,3.2736161173358926,45.50337192670854,市场倾斜
0.08,0.01,贪心策略,0.4987656388022078,0.15079783834600952,0.5012343611977922,0.8492021616539904,0.6752182614258913,0.6081601730408954,9.9999980000002,1.5599961584830584,-14.03797297332256,市场倾斜
0.08,0.01,长期策略,0.37070841460737686,0.005513260455757898,0.6292915853926231,0.994486739544242,0.8118891624684326,1.8244805191226892,9.9999980000002,2.1536745058800855,48.053431257140865,市场倾斜
0.08,0.01,动态策略,0.4085239440746945,0.01523692679201818,0.5914760559253055,0.9847630732079818,0.7881195645666437,1.2163203460817908,9.9999980000002,1.6690389229849534,52.581232430236966,市场倾斜
0.08,0.01,纯质量投资,0.32458268177864225,0.000857631715803271,0.6754173182213578,0.9991423682841968,0.8372798432527773,3.0,9.9999980000002,3.247368580667836,43.90212624538095,市场倾斜
0.08,0.02,贪心策略,0.666175938726372,0.41237248189114567,0.33382406127362796,0.5876275181088544,0.46072578969124117,0.3192091769225551,9.9999980000002,1.2860330665037152,-25.018047375871742,市场倾斜
0.08,0.02,长期策略,0.43069339484640934,0.037716819812165,0.5693066051535907,0.962283180187835,0.7657948926707128,0.9576275307676637,9.9999980000002,1.6612025601818308,41.162685759420775,市场倾斜
0.08,0.02,动态策略,0.4602182560832751,0.05694090315974933,0.539781743916725,0.9430590968402507,0.7414204203784878,0.6384183538451103,9.9999980000002,1.330197868927076,47.09094279557211,市场倾斜
0.08,0.02,纯质量投资,0.32458268177864225,0.000857631715803271,0.6754173182213578,0.9991423682841968,0.8372798432527773,3.0,9.9999980000002,3.1314932087075094,39.51665707550064,市场倾斜
0.08,0.04,贪心策略,0.8149332782041536,0.6670402897001605,0.18506672179584638,0.3329597102998395,0.25901321604784294,0.15999902866797683,9.9999980000002,1.1127207220376032,-32.58675505552578,市场倾斜
0.08,0.04,长期策略,0.5030541652944291,0.122650093026321,0.49694583470557085,0.877349906973679,0.6871478708396249,0.4799970860039308,9.9999980000002,1.2752442059752545,28.58638114846688,市场倾斜
0.08,0.04,动态策略,0.515895401195563,0.1277023901673396,0.484104598804437,0.8722976098326604,0.6782011043185487,0.31999805733595366,9.9999980000002,1.0647570678600902,38.383513629144595,市场倾斜
0.08,0.04,纯质量投资,0.40003806724593155,0.01795258899728698,0.5999619327540684,0.982047411002713,0.7910046718783907,1.599990286679769,9.9999980000002,2.081272233463213,27.31460885462409,市场倾斜
0.1,0.005,贪心策略,0.395605738352147,0.030917973779252372,0.604394261647853,0.9690820262207476,0.7867381439343003,1.2430586876919196,9.9999980000002,1.9494551496848873,2.092501121955267,市场倾斜
0.1,0.005,长期策略,0.3132866576735033,0.00043616812087859686,0.6867133423264967,0.9995638318791215,0.8431385871028091,3.0,9.9999980000002,2.9612817406527636,59.05524747340917,市场倾斜
0.1,0.005,动态策略,0.340935472705994,0.0009745976461593104,0.659064527294006,0.9990254023538407,0.8290449648239233,2.4861173753838393,9.9999980000002,2.3010022603720928,61.150502602734356,市场倾斜
0.1,0.005,纯质量投资,0.32458268177864225,0.000857631715803271,0.6754173182213578,0.9991423682841968,0.8372798432527773,3.0,9.9999980000002,3.326801460559153,51.88121908459693,市场倾斜
0.1,0.01,贪心策略,0.4602867638443302,0.0991060452867403,0.5397132361556698,0.9008939547132597,0.7203035954344648,0.7602002163011193,9.9999980000002,1.702943180825791,-4.832171174977476,市场倾斜
