b0,duration,final_x,final_y,combined_share,cum_profit,success,directional_state
1.125,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.985829003354459,0,平台B锁定
1.1624999999999999,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.989386413420534,0,平台B锁定
1.2,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.992885438087619,0,平台B锁定
1.2375,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9963189220255693,0,平台B锁定
1.275,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.99968020596787,0,平台B锁定
1.3125,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.0029631632394227,0,平台B锁定
1.3499999999999999,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.006162228408896,0,平台B锁定
1.3875,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.009272417986818,0,平台B锁定
1.425,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.0122893432679616,0,平台B锁定
1.4625,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.015209215579756,0,平台B锁定
1.5,0.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.018028844341881,0,平台B锁定
0.0,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.8910586434786025,0,平台B锁定
0.0375,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9079203261534943,0,平台B锁定
0.075,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9275827807193173,0,平台B锁定
0.11249999999999999,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9505429147551636,0,平台B锁定
0.15,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,2.9774277969494563,0,平台B锁定
0.1875,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.009040647617314,0,平台B锁定
0.22499999999999998,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.0464273789461935,0,平台B锁定
0.2625,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.09097485758712,0,平台B锁定
0.3,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.144559377785748,0,平台B锁定
0.33749999999999997,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.2097772242695175,0,平台B锁定
0.375,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.2903160404691816,0,平台B锁定
0.4125,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.3915874178974548,0,平台B锁定
0.44999999999999996,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.5219092594753607,0,平台B锁定
0.4875,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.6950681539128407,0,平台B锁定
0.525,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,3.9371600229690276,0,平台B锁定
0.5625,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,4.3109737846679215,0,平台B锁定
0.6,1.0,0.007029988102361431,0.013355008350265828,0.010192498226313629,5.06923739387002,0,平台B锁定
0.6375,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,169.53885935090108,1,平台A锁定
0.6749999999999999,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,170.56201954115025,1,平台A锁定
0.7125,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,170.94512312573184,1,平台A锁定
0.75,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,171.16866870826635,1,平台A锁定
0.7875,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,171.318969821052,1,平台A锁定
0.825,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,171.42747185027977,1,平台A锁定
0.8624999999999999,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,171.50909579716875,1,平台A锁定
0.8999999999999999,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,171.5720569991083,1,平台A锁定
0.9375,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,171.62134386236542,1,平台A锁定
0.975,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,171.66020576862851,1,平台A锁定
1.0125,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,171.69087489219655,1,平台A锁定
1.05,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,171.7149499262411,1,平台A锁定
1.0875,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,171.73361492442677,1,平台A锁定
1.125,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,171.74777130457673,1,平台A锁定
1.1624999999999999,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,171.75812121942397,1,平台A锁定
1.2,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,171.7652222785311,1,平台A锁定
1.2375,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,171.76952466128628,1,平台A锁定
1.275,1.0,0.9929700118976375,0.9866449916497331,0.9898075017736853,171.77139700673408,1,平台A锁定
