name,final_x,final_y,combined_share,concentration,lock_in_index,market_state,directional_state,final_q_u,final_q_m,avg_shortage_A,max_shortage_A,cum_revenue,cum_subsidy_cost,cum_invest_cost,cum_total_cost,cum_profit,case_name,alpha,beta
商户补贴,0.9964098110738376,0.9246181308378697,0.9605139709558537,0.9210279419117073,0.9210279419117073,市场锁定,平台A锁定,0.0,0.0,0.020861698301489196,0.04179168023596794,169.08080050160888,11.847026014907694,0.0,11.847026014907694,157.23377448670124,用户更依赖商户,1.6,0.5
双边补贴,0.9964390677812958,0.9238871838897044,0.9601631258355001,0.9203262516710001,0.9203262516710001,市场锁定,平台A锁定,0.0,0.0,0.02500092853537273,0.0425518838915914,168.7276476121396,14.497045537266354,0.0,14.497045537266354,154.23060207487305,用户更依赖商户,1.6,0.5
无补贴,0.07752664423763543,0.003683301033835888,0.04060497263573566,0.9187900547285286,0.9187900547285286,市场锁定,平台B锁定,0.0,0.0,0.044984601715748286,0.07983094588808619,7.647761993957376,0.0,0.0,0.0,7.647761993957376,商户更依赖用户,0.5,1.6
用户补贴,0.9246181308378697,0.9964098110738376,0.9605139709558537,0.9210279419117073,0.9210279419117073,市场锁定,平台A锁定,0.0,0.0,0.0030488564161926996,0.1912070195523732,169.74989316002294,10.530689791029124,0.0,10.530689791029124,159.21920336899396,商户更依赖用户,0.5,1.6
商户补贴,0.9225028795085267,0.9964129409417257,0.9594579102251262,0.9189158204502524,0.9189158204502524,市场锁定,平台A锁定,0.0,0.0,0.0,0.0,167.16010301572973,12.00762231032006,0.0,12.00762231032006,155.15248070540986,商户更依赖用户,0.5,1.6
双边补贴,0.9238871838897044,0.9964390677812958,0.9601631258355001,0.9203262516710001,0.9203262516710001,市场锁定,平台A锁定,0.0,0.0,2.177654270201819e-05,0.007489854262298562,169.573827532994,14.523900103732544,0.0,14.523900103732544,155.04992742926143,商户更依赖用户,0.5,1.6
无补贴,0.0007734302977765421,0.0007734302977765421,0.0007734302977765421,0.9984531394044469,0.9984531394044469,市场锁定,平台B锁定,0.0,0.0,0.0,0.0,0.9824864911659178,0.0,0.0,0.0,0.9824864911659178,极强锁定市场,1.8,1.8
用户补贴,0.9992464670507881,0.9992267758943744,0.9992366214725812,0.9984732429451625,0.9984732429451625,市场锁定,平台A锁定,0.0,0.0,0.004696815153325875,0.15522946979184923,172.0510574586943,10.342249444487232,0.0,10.342249444487232,161.70880801420702,极强锁定市场,1.8,1.8
商户补贴,0.9992267758943744,0.9992464670507881,0.9992366214725812,0.9984732429451625,0.9984732429451625,市场锁定,平台A锁定,0.0,0.0,0.0,0.0,172.1597896039238,11.635030625048142,0.0,11.635030625048142,160.52475897887666,极强锁定市场,1.8,1.8
双边补贴,0.999239635683043,0.999239635683043,0.999239635683043,0.9984792713660859,0.9984792713660859,市场锁定,平台A锁定,0.0,0.0,0.0,0.0,173.79171599482265,14.626877443767277,0.0,14.626877443767277,159.16483855105568,极强锁定市场,1.8,1.8
