investment_B,final_A_user_share,final_A_merchant_share,final_B_user_share,final_B_merchant_share,final_B_average_share,final_B_quality,profit
0.7,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,130.32518251372838
0.725,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,129.1394277614394
0.75,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,127.8799440443457
0.775,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,126.55276988460206
0.8,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,125.16331892838772
0.825,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,123.71645579391297
0.85,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,122.21656173106635
0.875,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,120.66759151662743
0.9,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,119.07312282231574
0.925,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,117.43639912088672
0.95,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,115.76036704254157
0.975,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,114.04770896120495
1.0,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,112.30087147659388
1.025,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,110.5220903613765
1.05,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,108.71341246063633
1.075,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,106.87671496082429
1.1,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,105.01372238524604
1.125,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,103.12602162115135
1.15,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,101.21507523842041
1.175,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,99.28223332088243
1.2,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,97.32874399791653
1.225,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,95.35576283582577
1.25,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,93.36436122515649
1.275,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,91.35553388111059
1.3,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,89.33020555884562
1.325,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,87.28923707299337
1.35,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,85.23343070045061
1.375,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,83.16353503676602
1.4,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,81.08024936888175
1.425,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,78.98422762032716
1.45,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,76.87608191915584
1.475,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,74.75638583369141
1.5,1.0140432335516695e-17,1.9287498479639204e-22,1.0,1.0,1.0,3.0,72.62567731632534
