theta,strategy,subsidy_user,subsidy_merchant,final_A_user_share,final_A_merchant_share,final_B_user_share,final_B_merchant_share,final_B_average_share,max_shortage,avg_shortage,profit,state
0.30000000000000004,只补贴用户,0.8,0.0,0.8794976288444184,0.8230998830042993,0.1205023711555816,0.17690011699570074,0.14870124407564117,9.9999980000002,3.6311904300365674,-33.65131487296312,平台失败
0.30000000000000004,只补贴商户,0.0,0.8,0.46952365962093723,0.1103496413109892,0.5304763403790628,0.8896503586890108,0.7100633495340367,9.9999980000002,1.908331264346292,70.25364381594298,市场倾斜
0.30000000000000004,均衡补贴,0.4,0.4,0.5689328331577993,0.3184331477828992,0.4310671668422007,0.6815668522171008,0.5563170095296508,9.9999980000002,2.6318622618590712,26.052007813315587,市场倾斜
0.30000000000000004,偏商户补贴,0.2,0.6000000000000001,0.48955127820431155,0.17368195587095114,0.5104487217956885,0.8263180441290489,0.6683833829623687,9.9999980000002,2.3361291831041684,57.20404530196705,市场倾斜
0.4,只补贴用户,0.8,0.0,0.8904064895588244,0.8289577383984408,0.1095935104411756,0.17104226160155922,0.1403178860213674,9.9999980000002,2.8235472602638487,-34.26888090299439,平台失败
0.4,只补贴商户,0.0,0.8,0.49344725420916025,0.11899594151216761,0.5065527457908398,0.8810040584878324,0.6937784021393361,9.9999980000002,1.4879773251982777,64.45522518180988,市场倾斜
0.4,均衡补贴,0.4,0.4,0.618914843606192,0.3647753140341974,0.381085156393808,0.6352246859658026,0.5081549211798053,9.9999980000002,1.9898042354688663,15.073282339358927,市场倾斜
0.4,偏商户补贴,0.2,0.6000000000000001,0.5228705821300588,0.19241402081416137,0.47712941786994123,0.8075859791858386,0.6423576985278899,9.9999980000002,1.80415073870029,49.04786830204277,市场倾斜
0.5,只补贴用户,0.8,0.0,0.8968697371098773,0.832343286890558,0.10313026289012273,0.16765671310944197,0.13539348799978235,9.9999980000002,2.312301885376727,-34.61887468523758,平台失败
0.5,只补贴商户,0.0,0.8,0.508758850386999,0.12486970210642281,0.491241149613001,0.8751302978935772,0.6831857237532891,9.9999980000002,1.2188046018001932,60.7525568434192,市场倾斜
0.5,均衡补贴,0.4,0.4,0.6481855524205784,0.39359950995691095,0.3518144475794216,0.606400490043089,0.4791074688112553,9.9999980000002,1.5995609495382908,8.971262237143057,市场倾斜
0.5,偏商户补贴,0.2,0.6000000000000001,0.5439494260479301,0.2051890016121457,0.45605057395206994,0.7948109983878543,0.6254307861699622,9.9999980000002,1.467756982085373,43.942498375835086,市场倾斜
0.6000000000000001,只补贴用户,0.8,0.0,0.9011573900458693,0.8345548098192319,0.09884260995413074,0.1654451901807681,0.13214390006744942,9.9999980000002,1.9591937942040032,-34.84461693010076,平台失败
0.6000000000000001,只补贴商户,0.0,0.8,0.5193736094071641,0.12910448590993995,0.48062639059283585,0.87089551409006,0.675760952341448,9.9999980000002,1.0320655424796905,58.19015443840525,市场倾斜
0.6000000000000001,均衡补贴,0.4,0.4,0.6670178580443786,0.412691033145577,0.33298214195562137,0.587308966854423,0.4601455544050222,9.9999980000002,1.3383581360344297,5.182576425504014,市场倾斜
0.6000000000000001,偏商户补贴,0.2,0.6000000000000001,0.5584081537871801,0.21438185637785162,0.4415918462128199,0.7856181436221483,0.6136049949174841,9.9999980000002,1.2367122993760495,40.468690903608824,市场倾斜
0.7000000000000001,只补贴用户,0.8,0.0,0.9042139260387725,0.8361147399480717,0.09578607396122751,0.16388526005192827,0.1298356670065779,9.9999980000002,1.7005160665776453,-35.00243440315671,平台失败
0.7000000000000001,只补贴商户,0.0,0.8,0.5271566819758868,0.13229680254828646,0.47284331802411317,0.8677031974517135,0.6702732577379134,9.9999980000002,0.8950444001722989,56.313603859739565,市场倾斜
0.7000000000000001,均衡补贴,0.4,0.4,0.6800504282457501,0.4261137490063448,0.3199495717542499,0.5738862509936552,0.44691791137395254,9.9999980000002,1.151310231905591,2.6266183095505165,市场倾斜
0.7000000000000001,偏商户补贴,0.2,0.6000000000000001,0.5689156317607014,0.2212868078410174,0.43108436823929863,0.7787131921589826,0.6048987801991406,9.9999980000002,1.0685022494041303,37.959975989325834,市场倾斜
