b,u_inf,m_inf,L_A,C,state
4.25,0.9999994545180445,0.9999994545180445,0.9999994545180445,0.999998909036089,市场锁定
4.3,0.9999993045907942,0.9999993045907942,0.9999993045907942,0.9999986091815884,市场锁定
4.3500000000000005,0.999999430667082,0.999999430667082,0.999999430667082,0.9999988613341639,市场锁定
4.4,0.9999994878708882,0.9999994878708882,0.9999994878708882,0.9999989757417764,市场锁定
4.45,0.9999994866935001,0.9999994866935001,0.9999994866935001,0.9999989733870003,市场锁定
4.5,0.9999995176215474,0.9999995176215474,0.9999995176215474,0.9999990352430947,市场锁定
4.55,0.9999996157863827,0.9999996157863827,0.9999996157863827,0.9999992315727655,市场锁定
4.6000000000000005,0.9999995917228915,0.9999995917228915,0.9999995917228915,0.9999991834457831,市场锁定
4.65,0.9999997740270293,0.9999997740270293,0.9999997740270293,0.9999995480540587,市场锁定
4.7,0.9999996584050796,0.9999996584050796,0.9999996584050796,0.9999993168101593,市场锁定
4.75,0.9999997146240962,0.9999997146240962,0.9999997146240962,0.9999994292481924,市场锁定
4.800000000000001,0.9999998217405504,0.9999998217405504,0.9999998217405504,0.9999996434811007,市场锁定
4.8500000000000005,0.9999997355173588,0.9999997355173588,0.9999997355173588,0.9999994710347175,市场锁定
4.9,0.9999997675168321,0.9999997675168321,0.9999997675168321,0.9999995350336641,市场锁定
4.95,0.999999909249734,0.999999909249734,0.999999909249734,0.9999998184994681,市场锁定
5.0,0.9999998913802202,0.9999998913802202,0.9999998913802202,0.9999997827604403,市场锁定
