t,strategy,active_strategy_platform,user_share_A,merchant_share_A,user_share_B,merchant_share_B,L_A,L_B,user_multi_home_rate,merchant_multi_home_rate,shortage_A,shortage_B,C_A,C_B,avg_user_utility,avg_merchant_utility,lock_in_index,user_subsidy_A,merchant_subsidy_A,user_subsidy_B,merchant_subsidy_B,user_quality_A,merchant_quality_A,user_quality_B,merchant_quality_B,cum_revenue_A,cum_subsidy_cost_A,cum_invest_cost_A,cum_total_cost_A,cum_profit_A,cum_revenue_B,cum_subsidy_cost_B,cum_invest_cost_B,cum_total_cost_B,cum_profit_B,user_share_A_price_sensitive,user_share_B_price_sensitive,user_utility_price_sensitive,user_share_A_quality_sensitive,user_share_B_quality_sensitive,user_utility_quality_sensitive,user_share_A_inertial,user_share_B_inertial,user_utility_inertial,user_share_A_normal,user_share_B_normal,user_utility_normal,merchant_share_A_large,merchant_share_B_large,merchant_utility_large,merchant_share_A_small_medium,merchant_share_B_small_medium,merchant_utility_small_medium,merchant_share_A_new,merchant_share_B_new,merchant_utility_new,merchant_share_A_multi_home,merchant_share_B_multi_home,merchant_utility_multi_home,run_id,network
20,none,B,0.5575,0.55,0.4425,0.44999999999999996,0.55375,0.44625,0.0,0.5,0.0,0.0,0.0,0.0,0.6340859339465446,0.464845478441928,0.10750000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.48124999999999,0.0,0.0,0.0,62.40558964563083,32.456250000000004,0.0,0.0,0.0,26.087987548762477,0.5107913669064749,0.4892086330935252,0.438210823478928,0.5813953488372093,0.4186046511627907,0.4435108421037551,0.5909090909090909,0.4090909090909091,1.1975518704781816,0.5681818181818182,0.4318181818181818,0.6846728609450561,0.0,0.0,0.0,0.5384615384615384,0.46153846153846156,0.4869125479585824,0.75,0.25,0.35826034657776673,0.5,0.5,0.45010515044429134,26,弱
21,none,B,0.5775,0.6,0.4225,0.4,0.58875,0.41125,0.0,0.5,0.0,0.0,0.0,0.0,0.6440220393156427,0.549884447344801,0.1775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.94624999999999,0.0,0.0,0.0,64.71885126776223,34.14625,0.0,0.0,0.0,27.216245021028588,0.5755395683453237,0.4244604316546763,0.45953930482527733,0.5968992248062015,0.40310077519379844,0.43859875172968765,0.5909090909090909,0.4090909090909091,1.22090869664283,0.5,0.5,0.6753101835873837,0.0,0.0,0.0,0.6153846153846154,0.38461538461538464,0.5382942769031117,0.75,0.25,0.8280804062116872,0.5,0.5,0.46874050694643854,26,弱
22,none,B,0.5975,0.6,0.40249999999999997,0.4,0.59875,0.40125,0.0,0.5,0.0,0.0,0.0,0.0,0.6530653140183954,0.4866995046872701,0.1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.53124999999999,0.0,0.0,0.0,67.06435835492941,35.75625,0.0,0.0,0.0,28.269596878863776,0.6330935251798561,0.3669064748201439,0.4688142848446545,0.5891472868217055,0.4108527131782946,0.4537940017578815,0.5909090909090909,0.4090909090909091,1.2458601048701452,0.5227272727272727,0.4772727272727273,0.6337687399684515,0.0,0.0,0.0,0.6153846153846154,0.38461538461538464,0.48569053177614036,0.75,0.25,0.5317883215326522,0.5,0.5,0.47128730751805453,26,弱
23,none,B,0.6175,0.6,0.38249999999999995,0.4,0.60875,0.39125,0.0,0.5,0.0,0.0,0.0,0.0,0.6466875495983744,0.48141044871335004,0.21750000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.23624999999998,0.0,0.0,0.0,69.43989578388206,37.28625,0.0,0.0,0.0,29.25058804385637,0.6474820143884892,0.35251798561151076,0.4667150631433535,0.6124031007751938,0.3875968992248062,0.4567173182623839,0.5909090909090909,0.4090909090909091,1.217660561132737,0.5909090909090909,0.4090909090909091,0.6302491506112541,0.0,0.0,0.0,0.6153846153846154,0.38461538461538464,0.4625842888321756,0.75,0.25,0.5094635878726913,0.5,0.5,0.5191372087406674,26,弱
24,none,B,0.585,0.55,0.41500000000000004,0.44999999999999996,0.5675,0.4325,0.0,0.5,0.0,0.0,0.0,0.0,0.6449031436127655,0.4620343948834599,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.45374999999999,0.0,0.0,0.0,71.46160316420651,39.15375,0.0,0.0,0.0,30.424026593275457,0.6258992805755396,0.37410071942446044,0.45184387314465096,0.5426356589147286,0.4573643410852713,0.41623146527534644,0.5909090909090909,0.4090909090909091,1.2400797873215725,0.5681818181818182,0.4318181818181818,0.7348654266632239,0.0,0.0,0.0,0.5384615384615384,0.46153846153846156,0.47484694202048516,0.75,0.25,0.4692008882182508,0.5,0.5,0.42585517499327763,26,弱
25,none,B,0.56,0.575,0.43999999999999995,0.42500000000000004,0.5675,0.4325,0.0,0.45,0.0,0.0,0.0,0.0,0.6490108591337064,0.5320168152580468,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.67374999999998,0.0,0.0,0.0,73.44441584776574,41.02375,0.0,0.0,0.0,31.575535822547433,0.5467625899280576,0.45323741007194246,0.49355041170754954,0.5658914728682171,0.43410852713178294,0.4324953179584623,0.5909090909090909,0.4090909090909091,1.2291302978023075,0.5227272727272727,0.4772727272727273,0.6146698682474567,0.0,0.0,0.0,0.5769230769230769,0.4230769230769231,0.6067300017046409,0.75,0.25,0.31416453416479306,0.5,0.5,0.4249034429342043,26,弱
26,none,B,0.585,0.6,0.41500000000000004,0.4,0.5925,0.40750000000000003,0.0,0.5,0.0,0.0,0.0,0.0,0.6283963015061537,0.456867742408902,0.18499999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.18374999999999,0.0,0.0,0.0,75.56257704928967,42.68375,0.0,0.0,0.0,32.5772872739804,0.5467625899280576,0.45323741007194246,0.45141337802740994,0.6124031007751938,0.3875968992248062,0.42362604817954863,0.5909090909090909,0.4090909090909091,1.1956632877028268,0.6136363636363636,0.38636363636363635,0.6533166255372955,0.0,0.0,0.0,0.6153846153846154,0.38461538461538464,0.4479060956529439,0.75,0.25,0.307328504156961,0.5,0.5,0.5399837192751697,26,弱
27,none,B,0.565,0.55,0.43500000000000005,0.44999999999999996,0.5575,0.4425,0.0,0.5,0.0,0.0,0.0,0.0,0.6330225119306497,0.5053203023690598,0.11499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.29124999999999,0.0,0.0,0.0,77.40033836412184,44.64125000000001,0.0,0.0,0.0,33.73494383835175,0.5107913669064749,0.4892086330935252,0.44604499583628154,0.5968992248062015,0.40310077519379844,0.43826666144935356,0.5909090909090909,0.4090909090909091,1.1996310849172251,0.5909090909090909,0.4090909090909091,0.6614730807121436,0.0,0.0,0.0,0.6153846153846154,0.38461538461538464,0.5267551817031564,0.25,0.75,0.5132876728979602,0.5,0.5,0.44640266788884875,26,弱
28,none,B,0.61,0.6,0.39,0.4,0.605,0.395,0.0,0.5,0.0,0.0,0.0,0.0,0.6429080264750546,0.4879532535916448,0.20999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.95124999999999,0.0,0.0,0.0,79.52155551103736,46.20125000000001,0.0,0.0,0.0,34.639069179660005,0.5899280575539568,0.41007194244604317,0.46650206413803147,0.6201550387596899,0.3798449612403101,0.43491439825409034,0.5909090909090909,0.4090909090909091,1.217798939245743,0.6818181818181818,0.3181818181818182,0.6602081737825534,0.0,0.0,0.0,0.6153846153846154,0.38461538461538464,0.49288142721704936,0.75,0.25,0.4379428479920619,0.5,0.5,0.49514416440542613,26,弱
29,none,B,0.675,0.75,0.32499999999999996,0.25,0.7125,0.2875,0.0,0.5,0.0,0.0,0.0,0.0,0.6480417287299567,0.45905424450696,0.42500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.01374999999999,0.0,0.0,0.0,82.39693490178453,47.01375000000001,0.0,0.0,0.0,35.10054982261943,0.697841726618705,0.302158273381295,0.46205756988770436,0.6821705426356589,0.3178294573643411,0.4614444382254023,0.5909090909090909,0.4090909090909091,1.1853537567865833,0.75,0.25,0.7080278670294453,0.0,0.0,0.0,0.8461538461538461,0.15384615384615385,0.48368458448358553,0.75,0.25,0.3397928813849126,0.5,0.5,0.44271990581655307,26,弱
30,none,B,0.6975,0.75,0.3025,0.25,0.72375,0.27625,0.0,0.5,0.0,0.0,0.0,0.0,0.6655741048171752,0.4933665267581008,0.4475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.24499999999999,0.0,0.0,0.0,85.3087357648145,47.77000000000001,0.0,0.0,0.0,35.52149116602042,0.7122302158273381,0.28776978417266186,0.4677188506123272,0.7286821705426356,0.2713178294573643,0.4913896064582643,0.6022727272727273,0.3977272727272727,1.2274635589207439,0.75,0.25,0.6775152107639734,0.0,0.0,0.0,0.8461538461538461,0.15384615384615385,0.5481613379045328,0.75,0.25,0.3850580206955083,0.5,0.5,0.3942234202024143,26,弱
