scenario,alpha,beta,budget,rho,final_x,final_y,combined_share,cum_profit,directional_state
用户更依赖商户,1.6,0.5,0.8,0.3,0.9964056122103212,0.9239018842645939,0.9601537482374576,157.7955691819502,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.32,0.9964056794735714,0.9238622479142211,0.9601339636938963,157.7815068655083,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.34,0.9964057457079525,0.9238225891281576,0.9601141674180551,157.7656890600088,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.36,0.9964058109128,0.9237829078916924,0.9600943594022462,157.74806262433466,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.38,0.9964058750874482,0.9237432041901001,0.9600745396387742,157.72857170195778,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.4,0.9964059382312285,0.9237034780086437,0.9600547081199361,157.70715761961551,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.42,0.9964060003434723,0.9236637293325748,0.9600348648380235,157.68375878297155,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.44,0.996406061423509,0.9236239581471313,0.9600150097853202,157.65831056922588,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.46,0.9964061214706659,0.9235841644375382,0.959995142954102,157.630745216596,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.48,0.9964061804842694,0.9235443481890102,0.9599752643366398,157.6009917105943,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.5,0.9964062384636443,0.9235045093867476,0.9599553739251959,157.56897566700053,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.52,0.9964062954081139,0.9234646480159391,0.9599354717120265,157.53461921141687,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.54,0.9964063513169998,0.9234247640617602,0.9599155576893801,157.49784085523905,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.56,0.9964064061896221,0.923384857509375,0.9598956318494986,157.458555367896,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.58,0.9964064600252996,0.9233449283439344,0.959875694184617,157.41667364513492,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.6,0.9964065128233494,0.9233049765505766,0.959855744686963,157.37210257312748,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.62,0.9964065645830863,0.9232650021144279,0.9598357833487571,157.32474488812406,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.64,0.9964066153038252,0.9232250050206013,0.9598158101622133,157.27449903134186,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.66,0.9964066649848782,0.9231849852541973,0.9597958251195378,157.2212589987515,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.68,0.9964067136255562,0.9231449428003049,0.9597758282129305,157.1649141853638,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.7000000000000001,0.9964067612251685,0.9231048776439991,0.9597558194345838,157.10534922358664,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.72,0.996406807783023,0.9230647897703429,0.959735798776683,157.0424438151808,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.74,0.9964068532984262,0.9230246791643869,0.9597157662314065,156.9760725562897,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.76,0.9964068977706825,0.9229845458111684,0.9596957217909254,156.90610475497255,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.78,0.9964069411990948,0.9229443896957129,0.9596756654474039,156.83240424062797,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.8,0.9964069835829652,0.922904210803032,0.9596555971929985,156.75482916462644,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.8200000000000001,0.9964070249215932,0.9228640091181266,0.9596355170198598,156.6732317914275,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.84,0.9964070652142776,0.9228237846259821,0.9596154249201299,156.58745827937346,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.86,0.9964071044603149,0.9227835373115736,0.9595953208859442,156.49734845027413,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.88,0.9964071426590009,0.9227432671598624,0.9595752049094317,156.4027355467909,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.9,0.9964071798096286,0.922702974155797,0.9595550769827128,156.30344597648076,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.92,0.9964072159114908,0.9226626582843136,0.9595349370979023,156.19929904117402,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.9400000000000001,0.9964072509638773,0.9226223195303352,0.9595147852471062,156.09010665010334,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.96,0.9964072849660777,0.9225819578787722,0.9594946214224249,155.975673014835,平台A锁定
用户更依赖商户,1.6,0.5,0.8,0.98,0.9964073179173789,0.9225415733145219,0.9594744456159504,155.855794323554,平台A锁定
用户更依赖商户,1.6,0.5,0.8,1.0,0.9964073498170669,0.9225011658224692,0.959454257819768,155.73025839157782,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.0,0.9225011658224692,0.9964073498170669,0.959454257819768,155.76887961363605,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.02,0.9225415733145219,0.9964073179173789,0.9594744456159504,155.92124447723654,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.04,0.9225819578787722,0.9964072849660777,0.9594946214224249,156.0687294498101,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.06,0.9226223195303352,0.9964072509638773,0.9595147852471062,156.21151681808018,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.08,0.9226626582843136,0.9964072159114908,0.9595349370979023,156.3497814685689,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.1,0.922702974155797,0.9964071798096286,0.9595550769827128,156.48369120884325,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.12,0.9227432671598624,0.9964071426590009,0.9595752049094317,156.61340706549268,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.14,0.9227835373115736,0.9964071044603149,0.9595953208859442,156.73908356196856,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.16,0.9228237846259821,0.9964070652142776,0.9596154249201299,156.86086897874603,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.18,0.9228640091181266,0.9964070249215932,0.9596355170198598,156.9789055977915,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.2,0.922904210803032,0.9964069835829652,0.9596555971929985,157.0933299329477,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.22,0.9229443896957129,0.9964069411990948,0.9596756654474039,157.2042729475975,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.24,0.9229845458111684,0.9964068977706825,0.9596957217909254,157.3118602607644,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.26,0.9230246791643869,0.9964068532984262,0.9597157662314065,157.41621234264923,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.28,0.9230647897703429,0.996406807783023,0.959735798776683,157.51744470051133,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.3,0.9231048776439991,0.9964067612251685,0.9597558194345838,157.61566805568276,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.32,0.9231449428003049,0.9964067136255562,0.9597758282129305,157.71098851244594,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.34,0.9231849852541973,0.9964066649848782,0.9597958251195378,157.80350771943566,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.36,0.9232250050206013,0.9964066153038252,0.9598158101622133,157.89332302416628,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.38,0.9232650021144279,0.9964065645830863,0.9598357833487571,157.98052762122674,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.4,0.9233049765505766,0.9964065128233494,0.959855744686963,158.0652106946556,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.42,0.9233449283439344,0.9964064600252996,0.959875694184617,158.14745755493658,平台A锁定
商户更依赖用户,0.5,1.6,0.8,0.44,0.923384857509375,0.9964064061896221,0.9598956318494986,158.22734977102792,平台A锁定
