budget,rho,user_subsidy_initial,merchant_subsidy_initial,final_x,final_y,combined_share,concentration,cum_profit,directional_state
0.3,0.62,0.186,0.11399999999999999,0.007073697334304547,0.013406689604368126,0.010240193469336337,0.9795196130613273,3.3282912246593326,平台B锁定
0.3,0.64,0.192,0.108,0.007074854666913073,0.013404313670601057,0.010239584168757065,0.9795208316624858,3.3241151838168825,平台B锁定
0.3,0.66,0.198,0.102,0.007076012221681622,0.013401938189042546,0.010238975205362084,0.9795220495892758,3.3200956370677117,平台B锁定
0.3,0.68,0.20400000000000001,0.09599999999999999,0.007077169998651381,0.013399563159604687,0.010238366579128034,0.979523266841744,3.3162314608492016,平台B锁定
0.3,0.7000000000000001,0.21000000000000002,0.08999999999999998,0.007078327997863544,0.013397188582199572,0.010237758290031557,0.9795244834199368,3.31252155956402,平台B锁定
0.3,0.72,0.216,0.084,0.00707948621935931,0.013394814456739318,0.010237150338049315,0.9795256993239014,3.308964864422566,平台B锁定
0.3,0.74,0.222,0.078,0.00708064466317989,0.013392440783136068,0.01023654272315798,0.979526914553684,3.305560332351039,平台B锁定
0.3,0.76,0.22799999999999998,0.072,0.0070818033293665065,0.013390067561301977,0.010235935445334242,0.9795281291093315,3.302306944960971,平台B锁定
0.3,0.78,0.23399999999999999,0.06599999999999999,0.0070829622179603875,0.013387694791149214,0.0102353285045548,0.9795293429908905,3.2992037075775498,平台B锁定
0.3,0.8,0.24,0.059999999999999984,0.007084121329002763,0.01338532247258997,0.010234721900796367,0.9795305561984073,3.2962496483232795,平台B锁定
0.3,0.8200000000000001,0.246,0.05399999999999998,0.007085280662534881,0.013382950605536466,0.010234115634035673,0.9795317687319287,3.293443817254538,平台B锁定
0.3,0.84,0.252,0.04800000000000001,0.007086440218597994,0.01338057918990092,0.010233509704249457,0.9795329805915011,3.290785285548063,平台B锁定
0.3,0.86,0.258,0.042,0.007087599997233364,0.013378208225595581,0.010232904111414472,0.979534191777171,3.288273144735323,平台B锁定
0.3,0.88,0.264,0.036,0.007088759998482256,0.013375837712532715,0.010232298855507485,0.9795354022889851,3.2859065059824295,平台B锁定
0.3,0.9,0.27,0.029999999999999992,0.007089920222385954,0.013373467650624603,0.010231693936505278,0.9795366121269895,3.283684499413571,平台B锁定
0.3,0.92,0.276,0.023999999999999987,0.007091080668985736,0.013371098039783553,0.010231089354384645,0.9795378212912307,3.2816062734762723,平台B锁定
