scenario,step,abm_L_A_mean,abm_L_A_std,abm_u_A_mean,abm_merchant_A_mean,ode_L_A
中等网络效应,40,0.531125,0.11452504525814129,0.5239166666666667,0.5383333333333333,0.5000038183048727
中等网络效应,41,0.5089583333333334,0.11047852582986536,0.52625,0.49166666666666664,0.5000028847128254
中等网络效应,42,0.5159583333333333,0.12394976184988689,0.4969166666666667,0.535,0.5000021824994203
中等网络效应,43,0.5060833333333333,0.1343834633795582,0.5271666666666667,0.48500000000000004,0.5000016499609279
中等网络效应,44,0.49275,0.13020102163379044,0.4955,0.49,0.5000012450596811
中等网络效应,45,0.4975,0.1331194854774954,0.4983333333333333,0.4966666666666667,0.5000009411526569
中等网络效应,46,0.5005416666666667,0.10320180438423021,0.5044166666666666,0.4966666666666667,0.5000007135218151
中等网络效应,47,0.4862083333333333,0.09076689743260057,0.4940833333333333,0.47833333333333333,0.5000005394526783
中等网络效应,48,0.486375,0.09722571388092335,0.4810833333333333,0.49166666666666664,0.5000004060717195
中等网络效应,49,0.49445833333333333,0.09585014532693942,0.4939166666666666,0.49500000000000005,0.5000003063795275
中等网络效应,50,0.48175,0.09234294682100094,0.48850000000000005,0.475,0.5000002329136558
中等网络效应,51,0.4962916666666667,0.10678212759159889,0.48591666666666666,0.5066666666666666,0.5000001777312546
中等网络效应,52,0.511875,0.12181226280916733,0.49541666666666667,0.5283333333333333,0.500000133830203
中等网络效应,53,0.5285833333333333,0.10761257804747076,0.5205,0.5366666666666667,0.5000000998640687
中等网络效应,54,0.5351250000000001,0.100639844161041,0.5319166666666667,0.5383333333333333,0.5000000748475903
中等网络效应,55,0.5326666666666667,0.09617957193433159,0.5253333333333333,0.5399999999999999,0.5000000571883817
中等网络效应,56,0.5137083333333333,0.10278476178766542,0.5224166666666666,0.505,0.5000000447291449
中等网络效应,57,0.512875,0.09514686356655024,0.5040833333333333,0.5216666666666667,0.5000000347479902
中等网络效应,58,0.506375,0.08502240450164521,0.51275,0.5,0.5000000257341182
中等网络效应,59,0.49075,0.07309255469419669,0.4965,0.48500000000000004,0.5000000184948048
中等网络效应,60,0.49270833333333336,0.08681882848717244,0.48874999999999996,0.4966666666666667,0.5000000132507256
中等网络效应,61,0.466625,0.1021240740894168,0.49158333333333337,0.44166666666666665,0.5000000099334664
