step,u_A,m_A,L_A,seed,C,market_size,n_users,n_merchants
48,0.0,0.0,0.0,202695,1.0,150,100,50
49,0.0,0.0,0.0,202695,1.0,150,100,50
50,0.0,0.0,0.0,202695,1.0,150,100,50
51,0.0,0.0,0.0,202695,1.0,150,100,50
52,0.0,0.0,0.0,202695,1.0,150,100,50
53,0.0,0.0,0.0,202695,1.0,150,100,50
54,0.0,0.0,0.0,202695,1.0,150,100,50
55,0.02,0.0,0.01,202695,0.9802,150,100,50
56,0.0,0.0,0.0,202695,1.0,150,100,50
57,0.01,0.0,0.005,202695,0.9900500000000001,150,100,50
58,0.0,0.0,0.0,202695,1.0,150,100,50
59,0.0,0.0,0.0,202695,1.0,150,100,50
60,0.0,0.02,0.01,202695,0.9802,150,100,50
0,0.5,0.5,0.5,202696,0.5,150,100,50
1,0.57,0.54,0.5549999999999999,202696,0.50605,150,100,50
2,0.53,0.64,0.585,202696,0.51445,150,100,50
3,0.91,0.86,0.885,202696,0.7964500000000001,150,100,50
4,0.99,1.0,0.995,202696,0.9900500000000001,150,100,50
5,1.0,1.0,1.0,202696,1.0,150,100,50
6,0.99,0.98,0.985,202696,0.97045,150,100,50
7,1.0,1.0,1.0,202696,1.0,150,100,50
8,1.0,1.0,1.0,202696,1.0,150,100,50
9,1.0,1.0,1.0,202696,1.0,150,100,50
10,0.99,0.98,0.985,202696,0.97045,150,100,50
11,1.0,1.0,1.0,202696,1.0,150,100,50
12,1.0,1.0,1.0,202696,1.0,150,100,50
13,1.0,1.0,1.0,202696,1.0,150,100,50
14,1.0,1.0,1.0,202696,1.0,150,100,50
15,1.0,1.0,1.0,202696,1.0,150,100,50
16,1.0,1.0,1.0,202696,1.0,150,100,50
17,1.0,1.0,1.0,202696,1.0,150,100,50
18,1.0,1.0,1.0,202696,1.0,150,100,50
19,1.0,1.0,1.0,202696,1.0,150,100,50
20,1.0,1.0,1.0,202696,1.0,150,100,50
21,1.0,1.0,1.0,202696,1.0,150,100,50
22,1.0,1.0,1.0,202696,1.0,150,100,50
23,0.99,1.0,0.995,202696,0.9900500000000001,150,100,50
24,1.0,0.98,0.99,202696,0.9802,150,100,50
25,0.99,1.0,0.995,202696,0.9900500000000001,150,100,50
26,1.0,1.0,1.0,202696,1.0,150,100,50
27,0.99,0.98,0.985,202696,0.97045,150,100,50
28,1.0,1.0,1.0,202696,1.0,150,100,50
29,1.0,0.98,0.99,202696,0.9802,150,100,50
30,1.0,1.0,1.0,202696,1.0,150,100,50
31,1.0,1.0,1.0,202696,1.0,150,100,50
32,1.0,1.0,1.0,202696,1.0,150,100,50
33,1.0,1.0,1.0,202696,1.0,150,100,50
34,1.0,1.0,1.0,202696,1.0,150,100,50
35,0.99,1.0,0.995,202696,0.9900500000000001,150,100,50
36,1.0,1.0,1.0,202696,1.0,150,100,50
37,0.98,1.0,0.99,202696,0.9802,150,100,50
