u0,m0,final_L_mean,final_L_std,concentration_mean,success_probability,mean_time_to_success,subsidy_spend_mean,roi_mean,final_multi_share,lock_A_probability,lock_B_probability,coexist_probability
0.45,0.4,0.9827307692307693,0.006483632891486167,0.9661403846153847,1.0,2.1,0.0,0.0,0.0,1.0,0.0,0.0
0.45,0.425,0.9824230769230771,0.006570587803173884,0.9655486686390533,1.0,1.78,0.0,0.0,0.0,1.0,0.0,0.0
0.45,0.45,0.9823076923076924,0.006512785489631691,0.9653245562130178,1.0,1.24,0.0,0.0,0.0,1.0,0.0,0.0
0.45,0.475,0.9825769230769231,0.006620936117578748,0.9658468934911244,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.45,0.5,0.9826538461538462,0.006823923656221094,0.9660007396449706,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.475,0.3,0.018115384615384617,0.007810029346082399,0.9645451183431953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.475,0.325,0.07630769230769231,0.2319506129012438,0.9644804733727811,0.06,4.0,0.0,0.0,0.0,0.06,0.94,0.0
0.475,0.35,0.7697692307692309,0.40449115718939394,0.9662325443786983,0.78,2.8205128205128207,0.0,0.0,0.0,0.78,0.22,0.0
0.475,0.375,0.9828846153846155,0.006504088242720713,0.9664380177514793,1.0,2.22,0.0,0.0,0.0,1.0,0.0,0.0
0.475,0.4,0.9827692307692308,0.0065239010468413055,0.9662156804733729,1.0,1.96,0.0,0.0,0.0,1.0,0.0,0.0
0.475,0.425,0.9824615384615385,0.006612152837702442,0.9656239644970416,1.0,1.58,0.0,0.0,0.0,1.0,0.0,0.0
0.475,0.45,0.982346153846154,0.006532340841901424,0.9653992603550298,1.0,1.08,0.0,0.0,0.0,1.0,0.0,0.0
0.475,0.475,0.9826153846153847,0.0066385815051435955,0.9659215976331361,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.475,0.5,0.9826923076923078,0.006840604174719068,0.9660754437869824,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.3,0.018115384615384617,0.007810029346082399,0.9645451183431953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5,0.325,0.26784615384615384,0.4270325004380613,0.9652100591715977,0.26,4.0,0.0,0.0,0.0,0.26,0.74,0.0
0.5,0.35,0.8661538461538462,0.31873886369421384,0.967262426035503,0.88,2.5454545454545454,0.0,0.0,0.0,0.88,0.12,0.0
0.5,0.375,0.9830000000000001,0.0065400773698314285,0.9666618343195268,1.0,2.06,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.4,0.9828846153846155,0.006561852149723173,0.9664394970414202,1.0,1.8,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.425,0.9825769230769231,0.006655046125497243,0.965847781065089,1.0,1.34,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.45,0.9824615384615385,0.006577820405704241,0.965623076923077,1.0,1.02,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.475,0.9827307692307693,0.0066785934653218,0.9661454142011836,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.5,0.9828076923076924,0.006900035789885626,0.966299852071006,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
