u0,m0,final_L_mean,final_L_std,concentration_mean,success_probability,mean_time_to_success,subsidy_spend_mean,roi_mean,final_multi_share,lock_A_probability,lock_B_probability,coexist_probability
0.3,0.35,0.019711538461538464,0.008035729733589379,0.9614767011834319,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.4,0.3576923076923077,0.472445762435068,0.9645924556213018,0.35,3.142857142857143,0.0,0.0,0.0,0.35,0.65,0.0
0.3,0.45,0.9836538461538462,0.007181956872310439,0.9679400887573966,1.0,2.1,0.0,0.0,0.0,1.0,0.0,0.0
0.3,0.5,0.9845192307692308,0.006791226455772955,0.9696053994082842,1.0,1.25,0.0,0.0,0.0,1.0,0.0,0.0
0.35,0.05,0.022788461538461542,0.009671395568655355,0.9556394230769231,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.35,0.1,0.022211538461538463,0.009389554517613715,0.9567311390532545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.35,0.15,0.02153846153846154,0.010110723052669045,0.9580451183431953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.35,0.2,0.021923076923076924,0.010010116340472651,0.957305473372781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.35,0.25,0.021346153846153848,0.009273265874615815,0.9583823964497041,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.35,0.3,0.020480769230769233,0.008651596648699274,0.9600196005917161,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.35,0.35,0.06817307692307692,0.21630755391147435,0.9618480029585799,0.05,5.0,0.0,0.0,0.0,0.05,0.95,0.0
0.35,0.4,0.6463461538461539,0.47197334332667806,0.9660761834319527,0.65,2.6153846153846154,0.0,0.0,0.0,0.65,0.35,0.0
0.35,0.45,0.9836538461538462,0.007181956872310439,0.9679400887573966,1.0,1.95,0.0,0.0,0.0,1.0,0.0,0.0
0.35,0.5,0.9845192307692308,0.006791226455772955,0.9696053994082842,1.0,1.05,0.0,0.0,0.0,1.0,0.0,0.0
0.4,0.05,0.022692307692307696,0.009777977530997854,0.9558269230769231,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4,0.1,0.022211538461538463,0.009389554517613715,0.9567311390532545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4,0.15,0.02153846153846154,0.010110723052669045,0.9580451183431953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4,0.2,0.021923076923076924,0.010010116340472651,0.957305473372781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4,0.25,0.021346153846153848,0.009273265874615815,0.9583823964497041,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4,0.3,0.020480769230769233,0.008651596648699274,0.9600196005917161,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.4,0.35,0.30980769230769234,0.4545823216978957,0.9649718934911243,0.3,3.1666666666666665,0.0,0.0,0.0,0.3,0.7,0.0
0.4,0.4,0.9351923076923077,0.2147992153065136,0.9664482248520712,0.95,2.263157894736842,0.0,0.0,0.0,0.95,0.05,0.0
0.4,0.45,0.98375,0.007342104146923184,0.9681305473372783,1.0,1.7,0.0,0.0,0.0,1.0,0.0,0.0
0.4,0.5,0.9846153846153847,0.0069477742112269165,0.9697958579881657,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.45,0.05,0.02230769230769231,0.009813743469464632,0.9565628698224853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.45,0.1,0.021826923076923077,0.009406123723429707,0.9574670857988166,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.45,0.15,0.021153846153846155,0.010137638887084141,0.9587825443786983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.45,0.2,0.02153846153846154,0.010052803597413605,0.958042899408284,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.45,0.25,0.020961538461538462,0.009294231910590998,0.9591198224852071,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.45,0.3,0.020096153846153847,0.008723293094737367,0.9607599852071006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.45,0.35,0.6942307692307692,0.45213859104515897,0.9638668639053256,0.7,2.857142857142857,0.0,0.0,0.0,0.7,0.3,0.0
0.45,0.4,0.9836538461538462,0.0069617677283472105,0.9679341715976332,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
0.45,0.45,0.9840384615384616,0.007332155941080103,0.9686886094674557,1.0,1.2,0.0,0.0,0.0,1.0,0.0,0.0
0.45,0.5,0.9848076923076924,0.0068603773458852215,0.9701664201183433,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.05,0.022211538461538463,0.009815230888596035,0.9567466715976332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5,0.1,0.02173076923076923,0.00940250170464349,0.9576508875739644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5,0.15,0.02105769230769231,0.010089042222526516,0.9589648668639054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5,0.2,0.021442307692307695,0.009968710781410667,0.9582237426035503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5,0.25,0.020865384615384616,0.009196863336764838,0.9593006656804735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5,0.3,0.06817307692307692,0.21678125388683558,0.9622377958579882,0.05,4.0,0.0,0.0,0.0,0.05,0.95,0.0
0.5,0.35,0.9829807692307693,0.006927433402130466,0.966632026627219,1.0,2.9,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.4,0.98375,0.0068483085814424445,0.9681172337278108,1.0,1.75,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.45,0.9841346153846156,0.007219125563543761,0.9688716715976332,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.5,0.5,0.9849038461538463,0.006698883409097562,0.9703487426035504,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
