u_A,merchant_A_presence,merchant_B_presence,merchant_A_only,merchant_B_only,merchant_multi,L_A,concentration,total_subsidy_spend,step,seed,experiment,version,removed_mechanism,u0,m0,subsidy_policy,allow_multi_home,multi_home_share
0.95,0.7533333333333333,0.18,0.62,0.04666666666666667,0.3333333333333333,0.8516666666666666,0.7473388888888888,4620.0,33,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.94,0.776,0.16266666666666668,0.6533333333333333,0.04,0.30666666666666664,0.858,0.7563279999999999,4760.0,34,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9633333333333334,0.7653333333333333,0.16533333333333333,0.6266666666666667,0.02666666666666667,0.3466666666666667,0.8643333333333334,0.7654775555555557,4900.0,35,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9333333333333333,0.772,0.16533333333333333,0.6466666666666666,0.04,0.31333333333333335,0.8526666666666667,0.7487475555555556,5040.0,36,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9233333333333333,0.7,0.21333333333333335,0.5266666666666666,0.04,0.43333333333333335,0.8116666666666666,0.6942722222222222,5180.0,37,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9466666666666667,0.7133333333333334,0.20666666666666667,0.5533333333333333,0.04666666666666667,0.4,0.8300000000000001,0.7178,5320.0,38,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9,0.7146666666666667,0.20133333333333336,0.5466666666666666,0.03333333333333333,0.42,0.8073333333333333,0.6889075555555555,5460.0,39,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.91,0.7106666666666667,0.21733333333333335,0.5666666666666667,0.07333333333333333,0.36,0.8103333333333333,0.6926135555555555,5600.0,40,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.92,0.724,0.19733333333333333,0.5666666666666667,0.04,0.3933333333333333,0.8220000000000001,0.707368,5740.0,41,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9,0.72,0.2,0.56,0.04,0.4,0.81,0.6922000000000001,5880.0,42,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9433333333333334,0.7186666666666667,0.212,0.58,0.07333333333333333,0.3466666666666667,0.831,0.719122,6020.0,43,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9233333333333333,0.7373333333333333,0.19066666666666668,0.5933333333333334,0.04666666666666667,0.36,0.8303333333333334,0.7182402222222222,6160.0,44,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.96,0.7506666666666666,0.184,0.62,0.05333333333333334,0.32666666666666666,0.8553333333333333,0.7525235555555554,6300.0,45,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9466666666666667,0.7160000000000001,0.2026666666666667,0.5533333333333333,0.04,0.4066666666666667,0.8313333333333334,0.7195635555555555,6440.0,46,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9366666666666666,0.7546666666666667,0.1746666666666667,0.6133333333333333,0.03333333333333333,0.35333333333333333,0.8456666666666667,0.7389708888888888,6580.0,47,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.94,0.7186666666666667,0.19866666666666666,0.5533333333333333,0.03333333333333333,0.41333333333333333,0.8293333333333333,0.7169208888888887,6720.0,48,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9133333333333333,0.7053333333333334,0.20533333333333334,0.5266666666666666,0.02666666666666667,0.44666666666666666,0.8093333333333333,0.6913742222222223,6860.0,49,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9266666666666666,0.7653333333333333,0.16533333333333333,0.6266666666666667,0.02666666666666667,0.3466666666666667,0.846,0.7394319999999999,7000.0,50,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9266666666666666,0.74,0.18666666666666668,0.5933333333333334,0.04,0.36666666666666664,0.8333333333333333,0.7222222222222221,7140.0,51,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9533333333333334,0.728,0.20133333333333336,0.5866666666666667,0.06,0.35333333333333333,0.8406666666666667,0.7321075555555556,7280.0,52,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9266666666666666,0.7773333333333333,0.15733333333333335,0.6466666666666666,0.02666666666666667,0.32666666666666666,0.852,0.747808,7420.0,53,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.94,0.724,0.19066666666666668,0.5533333333333333,0.02,0.4266666666666667,0.832,0.720448,7560.0,54,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9333333333333333,0.724,0.19733333333333333,0.5666666666666667,0.04,0.3933333333333333,0.8286666666666667,0.7160435555555555,7700.0,55,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9366666666666666,0.7466666666666667,0.18,0.6,0.03333333333333333,0.36666666666666664,0.8416666666666667,0.7334722222222223,7840.0,56,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9233333333333333,0.7613333333333333,0.168,0.62,0.02666666666666667,0.35333333333333333,0.8423333333333334,0.7343842222222223,7980.0,57,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.93,0.7786666666666666,0.15866666666666668,0.6533333333333333,0.03333333333333333,0.31333333333333335,0.8543333333333334,0.7511042222222224,8120.0,58,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.97,0.7333333333333333,0.18666666666666668,0.5733333333333334,0.02666666666666667,0.4,0.8516666666666666,0.7473388888888888,8260.0,59,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.95,0.7133333333333334,0.21333333333333335,0.5666666666666667,0.06666666666666667,0.36666666666666664,0.8316666666666667,0.7200055555555556,8400.0,60,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9433333333333334,0.736,0.18933333333333335,0.5866666666666667,0.04,0.37333333333333335,0.8396666666666667,0.7307468888888888,8540.0,61,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.92,0.7533333333333333,0.18,0.62,0.04666666666666667,0.3333333333333333,0.8366666666666667,0.7266888888888889,8680.0,62,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9433333333333334,0.7026666666666667,0.216,0.54,0.05333333333333334,0.4066666666666667,0.823,0.708658,8820.0,63,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9366666666666666,0.7066666666666667,0.20666666666666667,0.5333333333333333,0.03333333333333333,0.43333333333333335,0.8216666666666667,0.7069388888888888,8960.0,64,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9066666666666666,0.7093333333333334,0.216,0.56,0.06666666666666667,0.37333333333333335,0.808,0.6897280000000001,9100.0,65,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9033333333333333,0.7253333333333333,0.19866666666666666,0.5733333333333334,0.04666666666666667,0.38,0.8143333333333334,0.697610888888889,9240.0,66,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.93,0.752,0.17866666666666667,0.6133333333333333,0.04,0.3466666666666667,0.841,0.7325619999999999,9380.0,67,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9433333333333334,0.7653333333333333,0.17200000000000001,0.64,0.04666666666666667,0.31333333333333335,0.8543333333333334,0.7511042222222224,9520.0,68,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.96,0.7306666666666666,0.19733333333333333,0.5866666666666667,0.05333333333333334,0.36,0.8453333333333333,0.7385102222222222,9660.0,69,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.9333333333333333,0.7253333333333333,0.192,0.56,0.02666666666666667,0.41333333333333333,0.8293333333333333,0.7169208888888887,9800.0,70,7100,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.3,0.3,0.7,0.3,0.7,0.0,0.3,0.58,0.0,0,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.31,0.39466666666666667,0.4946666666666667,0.17333333333333334,0.2733333333333333,0.5533333333333333,0.35233333333333333,0.5436108888888889,140.0,1,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.5133333333333333,0.4746666666666667,0.388,0.2,0.11333333333333333,0.6866666666666666,0.494,0.500072,280.0,2,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.6466666666666666,0.5546666666666666,0.328,0.32,0.09333333333333334,0.5866666666666667,0.6006666666666667,0.5202675555555556,420.0,3,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.7566666666666667,0.5906666666666667,0.3106666666666667,0.3933333333333333,0.11333333333333333,0.49333333333333335,0.6736666666666666,0.5603202222222222,560.0,4,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
0.8,0.6346666666666667,0.268,0.44,0.07333333333333333,0.4866666666666667,0.7173333333333334,0.5944675555555556,700.0,5,7101,mechanism_ablation,Full ABM,保留全部机制,0.3,0.3,two_sided_targeted,True,1.0
