multi_home_cost,rho,final_L_mean,final_L_std,concentration_mean,success_probability,mean_time_to_success,subsidy_spend_mean,roi_mean,final_multi_share,lock_A_probability,lock_B_probability,coexist_probability
0.3,0.6,0.7644333333333333,0.2627589727826203,0.7751728400000001,0.84,2.7142857142857144,0.0,0.0,0.34600000000000003,0.84,0.14,0.02
0.3,0.7,0.7817333333333333,0.2623066786240748,0.7936047377777778,0.84,2.0238095238095237,0.0,0.0,0.34600000000000003,0.84,0.12,0.04
0.4,0.3,0.7298333333333333,0.2788154100472544,0.7580132666666667,0.84,3.4523809523809526,0.0,0.0,0.2946666666666667,0.82,0.16,0.02
0.4,0.4,0.7445666666666666,0.27835848800747026,0.7714932666666666,0.84,3.2142857142857144,0.0,0.0,0.2946666666666667,0.84,0.16,0.0
0.4,0.5,0.7593000000000001,0.27791825948813825,0.7858605555555556,0.84,2.9047619047619047,0.0,0.0,0.2946666666666667,0.84,0.16,0.0
0.4,0.6,0.7740333333333334,0.27749480393901416,0.8011151333333334,0.84,2.5476190476190474,0.0,0.0,0.2946666666666667,0.84,0.16,0.0
0.4,0.7,0.7887666666666666,0.27708819825916886,0.817257,0.84,2.0476190476190474,0.0,0.0,0.2946666666666667,0.84,0.14,0.02
0.5,0.3,0.7304333333333334,0.3039003017833913,0.7872156133333332,0.82,2.975609756097561,0.0,0.0,0.25,0.82,0.18,0.0
0.5,0.4,0.7429333333333333,0.303838817814453,0.7989765422222223,0.82,2.7560975609756095,0.0,0.0,0.25,0.82,0.18,0.0
0.5,0.5,0.7554333333333334,0.3037906416732647,0.8113783333333333,0.82,2.4634146341463414,0.0,0.0,0.25,0.82,0.18,0.0
0.5,0.6,0.7679333333333334,0.30375577969175355,0.8244209866666666,0.82,2.2439024390243905,0.0,0.0,0.25,0.82,0.18,0.0
0.5,0.7,0.7804333333333333,0.3037342364544337,0.8381045022222223,0.82,1.8048780487804879,0.0,0.0,0.25,0.82,0.18,0.0
