budget,subsidy_policy,policy_label,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
20,random,随机补贴,5220,0.42874999999999996,0.14250000000000002,coexist,0.0,,1400.0,-0.0002651785714285715,0.0
20,random,随机补贴,5221,0.39375,0.21250000000000002,tilted,0.0,,1400.0,-0.0002901785714285715,0.0
20,random,随机补贴,5222,0.53375,0.0675,coexist,0.0,,1400.0,-0.0001901785714285715,0.0
20,random,随机补贴,5223,0.445,0.19000000000000006,coexist,0.0,,1400.0,-0.0002535714285714286,0.0
20,random,随机补贴,5224,0.17124999999999999,0.6575,tilted,0.0,,1400.0,-0.00044910714285714286,0.0
20,random,随机补贴,5225,0.2425,0.515,tilted,0.0,,1400.0,-0.0003982142857142858,0.0
20,random,随机补贴,5226,0.335,0.32999999999999996,tilted,0.0,,1400.0,-0.0003321428571428572,0.0
20,random,随机补贴,5227,0.38125,0.23750000000000004,tilted,0.0,,1400.0,-0.0002991071428571429,0.0
20,random,随机补贴,5228,0.4525,0.09499999999999997,coexist,0.0,,1400.0,-0.00024821428571428575,0.0
20,random,随机补贴,5229,0.25125,0.4975,tilted,0.0,,1400.0,-0.00039196428571428574,0.0
20,swing_user,摇摆用户,5200,0.52125,0.15749999999999997,coexist,0.0,,1400.0,-0.0001991071428571429,0.0
20,swing_user,摇摆用户,5201,0.32999999999999996,0.34,tilted,0.0,,1400.0,-0.00033571428571428576,0.0
20,swing_user,摇摆用户,5202,0.3125,0.375,tilted,0.0,,1400.0,-0.00034821428571428574,0.0
20,swing_user,摇摆用户,5203,0.33875,0.32249999999999995,tilted,0.0,,1400.0,-0.00032946428571428574,0.0
20,swing_user,摇摆用户,5204,0.49124999999999996,0.017500000000000016,coexist,0.0,,1400.0,-0.00022053571428571435,0.0
20,swing_user,摇摆用户,5205,0.41000000000000003,0.18,coexist,0.0,,1400.0,-0.0002785714285714286,0.0
20,swing_user,摇摆用户,5206,0.4975,0.20499999999999996,tilted,0.0,,1400.0,-0.00021607142857142862,0.0
20,swing_user,摇摆用户,5207,0.21250000000000002,0.575,tilted,0.0,,1400.0,-0.00041964285714285714,0.0
20,swing_user,摇摆用户,5208,0.28875,0.4225,tilted,0.0,,1400.0,-0.0003651785714285714,0.0
20,swing_user,摇摆用户,5209,0.32125000000000004,0.3575,tilted,0.0,,1400.0,-0.0003419642857142857,0.0
20,swing_user,摇摆用户,5210,0.38375,0.23250000000000004,tilted,0.0,,1400.0,-0.00029732142857142864,0.0
20,swing_user,摇摆用户,5211,0.32625000000000004,0.3475,tilted,0.0,,1400.0,-0.00033839285714285715,0.0
20,swing_user,摇摆用户,5212,0.355,0.29,tilted,0.0,,1400.0,-0.0003178571428571429,0.0
20,swing_user,摇摆用户,5213,0.24125000000000002,0.5175,tilted,0.0,,1400.0,-0.0003991071428571429,0.0
20,swing_user,摇摆用户,5214,0.34625,0.3075,tilted,0.0,,1400.0,-0.0003241071428571429,0.0
20,swing_user,摇摆用户,5215,0.27,0.46,tilted,0.0,,1400.0,-0.0003785714285714286,0.0
20,swing_user,摇摆用户,5216,0.31625000000000003,0.3675,tilted,0.0,,1400.0,-0.0003455357142857143,0.0
20,swing_user,摇摆用户,5217,0.3925,0.21499999999999997,tilted,0.0,,1400.0,-0.00029107142857142857,0.0
20,swing_user,摇摆用户,5218,0.3,0.4,tilted,0.0,,1400.0,-0.00035714285714285714,0.0
20,swing_user,摇摆用户,5219,0.27125,0.4575,tilted,0.0,,1400.0,-0.00037767857142857145,0.0
20,swing_user,摇摆用户,5220,0.51625,0.06750000000000006,coexist,0.0,,1400.0,-0.00020267857142857148,0.0
20,swing_user,摇摆用户,5221,0.23125,0.5375,tilted,0.0,,1400.0,-0.0004062500000000001,0.0
20,swing_user,摇摆用户,5222,0.41875,0.16249999999999998,coexist,0.0,,1400.0,-0.0002723214285714286,0.0
20,swing_user,摇摆用户,5223,0.32125,0.35750000000000004,tilted,0.0,,1400.0,-0.0003419642857142858,0.0
20,swing_user,摇摆用户,5224,0.355,0.29000000000000004,tilted,0.0,,1400.0,-0.0003178571428571429,0.0
20,swing_user,摇摆用户,5225,0.44125000000000003,0.21750000000000003,tilted,0.0,,1400.0,-0.00025625,0.0
20,swing_user,摇摆用户,5226,0.3325,0.335,tilted,0.0,,1400.0,-0.00033392857142857144,0.0
20,swing_user,摇摆用户,5227,0.48125,0.13750000000000007,coexist,0.0,,1400.0,-0.00022767857142857146,0.0
20,swing_user,摇摆用户,5228,0.3125,0.375,tilted,0.0,,1400.0,-0.00034821428571428574,0.0
20,swing_user,摇摆用户,5229,0.38375000000000004,0.23249999999999998,tilted,0.0,,1400.0,-0.0002973214285714286,0.0
20,two_sided_targeted,双边精准,5200,0.45875,0.08250000000000002,coexist,0.0,,1400.0,-0.00024375000000000004,0.0
20,two_sided_targeted,双边精准,5201,0.23375,0.5325,tilted,0.0,,1400.0,-0.0004044642857142857,0.0
20,two_sided_targeted,双边精准,5202,0.2425,0.515,tilted,0.0,,1400.0,-0.0003982142857142858,0.0
20,two_sided_targeted,双边精准,5203,0.32375,0.3525,tilted,0.0,,1400.0,-0.00034017857142857146,0.0
20,two_sided_targeted,双边精准,5204,0.40375,0.1925,coexist,0.0,,1400.0,-0.0002830357142857143,0.0
20,two_sided_targeted,双边精准,5205,0.345,0.31,tilted,0.0,,1400.0,-0.00032500000000000004,0.0
20,two_sided_targeted,双边精准,5206,0.41375,0.1725,coexist,0.0,,1400.0,-0.00027589285714285715,0.0
20,two_sided_targeted,双边精准,5207,0.21000000000000002,0.5800000000000001,tilted,0.0,,1400.0,-0.0004214285714285715,0.0
20,two_sided_targeted,双边精准,5208,0.2475,0.505,tilted,0.0,,1400.0,-0.00039464285714285713,0.0
20,two_sided_targeted,双边精准,5209,0.3075,0.385,tilted,0.0,,1400.0,-0.0003517857142857143,0.0
20,two_sided_targeted,双边精准,5210,0.28500000000000003,0.43,tilted,0.0,,1400.0,-0.00036785714285714286,0.0
20,two_sided_targeted,双边精准,5211,0.27125,0.4575,tilted,0.0,,1400.0,-0.00037767857142857145,0.0
20,two_sided_targeted,双边精准,5212,0.27249999999999996,0.455,tilted,0.0,,1400.0,-0.0003767857142857143,0.0
20,two_sided_targeted,双边精准,5213,0.24,0.52,tilted,0.0,,1400.0,-0.0004,0.0
20,two_sided_targeted,双边精准,5214,0.26875000000000004,0.46249999999999997,tilted,0.0,,1400.0,-0.0003794642857142857,0.0
20,two_sided_targeted,双边精准,5215,0.27375,0.4525,tilted,0.0,,1400.0,-0.00037589285714285725,0.0
20,two_sided_targeted,双边精准,5216,0.25125,0.4975,tilted,0.0,,1400.0,-0.00039196428571428574,0.0
20,two_sided_targeted,双边精准,5217,0.265,0.47,tilted,0.0,,1400.0,-0.00038214285714285715,0.0
20,two_sided_targeted,双边精准,5218,0.3,0.4,tilted,0.0,,1400.0,-0.00035714285714285714,0.0
20,two_sided_targeted,双边精准,5219,0.23,0.54,tilted,0.0,,1400.0,-0.00040714285714285717,0.0
20,two_sided_targeted,双边精准,5220,0.3875,0.22499999999999998,tilted,0.0,,1400.0,-0.00029464285714285714,0.0
