multi_home_cost,rho,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
1.2,0.5,5424,0.5025,0.20499999999999996,tilted,0.0,,0.0,0.0,0.1
1.2,0.5,5425,0.51125,0.12749999999999995,coexist,0.0,,0.0,0.0,0.15
1.2,0.5,5426,0.6725,0.345,tilted,0.0,,0.0,0.0,0.15
1.2,0.5,5427,0.35,0.3,tilted,0.0,,0.0,0.0,0.2
1.2,0.5,5428,0.5125,0.12499999999999994,coexist,0.0,,0.0,0.0,0.1
1.2,0.5,5429,0.50125,0.15250000000000002,coexist,0.0,,0.0,0.0,0.15
1.6,0.5,5400,0.4425,0.11500000000000005,coexist,0.0,,0.0,0.0,0.05
1.6,0.5,5401,0.355,0.29,tilted,0.0,,0.0,0.0,0.0
1.6,0.5,5402,0.37375,0.2525,tilted,0.0,,0.0,0.0,0.05
1.6,0.5,5403,0.49250000000000005,0.065,coexist,0.0,,0.0,0.0,0.05
1.6,0.5,5404,0.2825,0.435,tilted,0.0,,0.0,0.0,0.0
1.6,0.5,5405,0.46125,0.07750000000000001,coexist,0.0,,0.0,0.0,0.0
1.6,0.5,5406,0.5375,0.125,coexist,0.0,,0.0,0.0,0.05
1.6,0.5,5407,0.60875,0.21750000000000003,tilted,0.0,,0.0,0.0,0.1
1.6,0.5,5408,0.53125,0.0625,coexist,0.0,,0.0,0.0,0.05
1.6,0.5,5409,0.45875,0.08249999999999996,coexist,0.0,,0.0,0.0,0.0
1.6,0.5,5410,0.46375,0.1775,coexist,0.0,,0.0,0.0,0.05
1.6,0.5,5411,0.5125,0.025000000000000022,coexist,0.0,,0.0,0.0,0.0
1.6,0.5,5412,0.50875,0.0675,coexist,0.0,,0.0,0.0,0.05
1.6,0.5,5413,0.5562499999999999,0.11249999999999993,coexist,0.0,,0.0,0.0,0.1
1.6,0.5,5414,0.42000000000000004,0.24000000000000005,tilted,0.0,,0.0,0.0,0.0
1.6,0.5,5415,0.29500000000000004,0.41,tilted,0.0,,0.0,0.0,0.1
1.6,0.5,5416,0.6025,0.20499999999999996,tilted,0.0,,0.0,0.0,0.0
1.6,0.5,5417,0.36624999999999996,0.2675,tilted,0.0,,0.0,0.0,0.1
1.6,0.5,5418,0.49,0.030000000000000027,coexist,0.0,,0.0,0.0,0.05
1.6,0.5,5419,0.2925,0.41500000000000004,tilted,0.0,,0.0,0.0,0.05
1.6,0.5,5420,0.6074999999999999,0.21499999999999997,tilted,0.0,,0.0,0.0,0.0
1.6,0.5,5421,0.48250000000000004,0.034999999999999976,coexist,0.0,,0.0,0.0,0.1
1.6,0.5,5422,0.65625,0.3125,tilted,0.0,,0.0,0.0,0.05
1.6,0.5,5423,0.42875,0.14249999999999996,coexist,0.0,,0.0,0.0,0.1
1.6,0.5,5424,0.49625,0.1925,coexist,0.0,,0.0,0.0,0.0
1.6,0.5,5425,0.49375,0.11250000000000004,coexist,0.0,,0.0,0.0,0.1
1.6,0.5,5426,0.63,0.26,tilted,0.0,,0.0,0.0,0.05
1.6,0.5,5427,0.375,0.25,tilted,0.0,,0.0,0.0,0.05
1.6,0.5,5428,0.4675,0.08500000000000002,coexist,0.0,,0.0,0.0,0.05
