step,u_A,m_A,L_A,seed,C,scenario,scenario_label
59,0.9916666666666667,1.0,0.9958333333333333,202601,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
60,0.9983333333333333,0.99,0.9941666666666666,202601,0.9884013888888887,strong_A_adv,强网络效应，A初始略占优
61,0.9983333333333333,0.9933333333333333,0.9958333333333333,202601,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
62,0.9983333333333333,0.9966666666666667,0.9975,202601,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
63,1.0,0.9966666666666667,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
64,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
65,0.9983333333333333,1.0,0.9991666666666666,202601,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
66,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
67,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
68,0.9983333333333333,1.0,0.9991666666666666,202601,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
69,0.9983333333333333,0.9966666666666667,0.9975,202601,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
70,0.9983333333333333,1.0,0.9991666666666666,202601,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
71,0.9933333333333333,0.9966666666666667,0.995,202601,0.9900500000000001,strong_A_adv,强网络效应，A初始略占优
72,0.9983333333333333,0.9933333333333333,0.9958333333333333,202601,0.9917013888888888,strong_A_adv,强网络效应，A初始略占优
73,0.9933333333333333,1.0,0.9966666666666666,202601,0.9933555555555553,strong_A_adv,强网络效应，A初始略占优
74,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
75,0.9966666666666667,1.0,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
76,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
77,0.9966666666666667,1.0,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
78,1.0,1.0,1.0,202601,1.0,strong_A_adv,强网络效应，A初始略占优
79,0.9983333333333333,0.9966666666666667,0.9975,202601,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
80,0.9966666666666667,1.0,0.9983333333333333,202601,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
0,0.55,0.55,0.55,202602,0.505,strong_A_adv,强网络效应，A初始略占优
1,0.8666666666666667,0.8666666666666667,0.8666666666666667,202602,0.768888888888889,strong_A_adv,强网络效应，A初始略占优
2,0.9983333333333333,0.9966666666666667,0.9975,202602,0.9950125000000001,strong_A_adv,强网络效应，A初始略占优
3,0.9966666666666667,0.9933333333333333,0.995,202602,0.9900500000000001,strong_A_adv,强网络效应，A初始略占优
4,0.9983333333333333,1.0,0.9991666666666666,202602,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
5,1.0,1.0,1.0,202602,1.0,strong_A_adv,强网络效应，A初始略占优
6,0.9983333333333333,1.0,0.9991666666666666,202602,0.9983347222222221,strong_A_adv,强网络效应，A初始略占优
7,1.0,0.9966666666666667,0.9983333333333333,202602,0.9966722222222222,strong_A_adv,强网络效应，A初始略占优
8,0.9966666666666667,0.9966666666666667,0.9966666666666667,202602,0.9933555555555555,strong_A_adv,强网络效应，A初始略占优
