u_A,merchant_A_presence,merchant_B_presence,merchant_A_only,merchant_B_only,merchant_multi,L_A,concentration,total_subsidy_spend,shortage_A,shortage_B,q_B,step,period_user_subsidy_spend,period_merchant_subsidy_spend,period_quality_investment,seed,experiment,scenario,u0,m0
0.4975,0.6,0.4,0.6,0.4,0.0,0.54875,0.10249999999999998,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.54,0.45,0.55,0.45,0.55,0.0,0.495,0.09000000000000002,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.415,0.45,0.55,0.45,0.55,0.0,0.4325,0.135,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.5275,0.55,0.45,0.55,0.45,0.0,0.5387500000000001,0.07750000000000001,0.0,0.0,0.0,0.0,48,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.525,0.55,0.45,0.55,0.45,0.0,0.5375000000000001,0.07500000000000007,0.0,0.0,0.0,0.0,49,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.5075,0.4,0.6,0.4,0.6,0.0,0.45375,0.10749999999999993,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.455,0.45,0.55,0.45,0.55,0.0,0.4525,0.09499999999999997,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.505,0.35,0.65,0.35,0.65,0.0,0.4275,0.15500000000000003,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.475,0.6,0.4,0.6,0.4,0.0,0.5375,0.125,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.54,0.55,0.45,0.55,0.45,0.0,0.545,0.09000000000000008,0.0,0.0,0.0,0.0,54,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.515,0.5,0.5,0.5,0.5,0.0,0.5075000000000001,0.015000000000000013,0.0,0.0,0.0,0.0,55,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.4775,0.5,0.5,0.5,0.5,0.0,0.48875,0.02250000000000002,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.4875,0.35,0.65,0.35,0.65,0.0,0.41874999999999996,0.16250000000000003,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.45,0.35,0.65,0.35,0.65,0.0,0.4,0.2,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.4525,0.45,0.55,0.45,0.55,0.0,0.45125000000000004,0.09749999999999998,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.51,0.45,0.55,0.45,0.55,0.0,0.48,0.06,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.52,0.45,0.55,0.45,0.55,0.0,0.485,0.07,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.4725,0.65,0.35,0.65,0.35,0.0,0.56125,0.17750000000000005,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.58,0.65,0.35,0.65,0.35,0.0,0.615,0.22999999999999998,0.0,0.0,0.0,0.0,63,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.545,0.5,0.5,0.5,0.5,0.0,0.5225,0.04500000000000004,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.4825,0.4,0.6,0.4,0.6,0.0,0.44125000000000003,0.1175,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.475,0.55,0.45,0.55,0.45,0.0,0.5125,0.07500000000000007,0.0,0.0,0.0,0.0,66,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.46,0.4,0.6,0.4,0.6,0.0,0.43000000000000005,0.13999999999999996,0.0,0.0,0.0,0.0,67,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.4875,0.55,0.45,0.55,0.45,0.0,0.51875,0.06250000000000006,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.48,0.4,0.6,0.4,0.6,0.0,0.44,0.12,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.4925,0.65,0.35,0.65,0.35,0.0,0.57125,0.15750000000000003,0.0,0.0,0.0,0.0,70,0.0,0.0,0.0,7200,abm_ode_comparison,弱网络效应,0.8,0.8
0.8,0.8,0.2,0.8,0.2,0.0,0.8,0.6000000000000001,0.0,0.0,0.0,0.0,0,,,,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.595,0.75,0.25,0.75,0.25,0.0,0.6725,0.345,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.535,0.45,0.55,0.45,0.55,0.0,0.49250000000000005,0.08500000000000002,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5,0.45,0.55,0.45,0.55,0.0,0.475,0.04999999999999999,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5075,0.4,0.6,0.4,0.6,0.0,0.45375,0.10749999999999993,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.4625,0.4,0.6,0.4,0.6,0.0,0.43125,0.13749999999999996,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5075,0.6,0.4,0.6,0.4,0.0,0.55375,0.10749999999999993,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.485,0.5,0.5,0.5,0.5,0.0,0.4925,0.015000000000000013,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.49,0.5,0.5,0.5,0.5,0.0,0.495,0.010000000000000009,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.495,0.65,0.35,0.65,0.35,0.0,0.5725,0.15500000000000003,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5575,0.4,0.6,0.4,0.6,0.0,0.47875,0.15749999999999997,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.495,0.5,0.5,0.5,0.5,0.0,0.4975,0.0050000000000000044,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.51,0.55,0.45,0.55,0.45,0.0,0.53,0.06000000000000005,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5075,0.5,0.5,0.5,0.5,0.0,0.5037499999999999,0.007499999999999951,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5525,0.5,0.5,0.5,0.5,0.0,0.52625,0.05249999999999999,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5125,0.6,0.4,0.6,0.4,0.0,0.5562499999999999,0.11249999999999993,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5775,0.55,0.45,0.55,0.45,0.0,0.56375,0.12750000000000006,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5025,0.5,0.5,0.5,0.5,0.0,0.50125,0.0024999999999999467,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5575,0.55,0.45,0.55,0.45,0.0,0.55375,0.10750000000000004,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.515,0.6,0.4,0.6,0.4,0.0,0.5575,0.11499999999999999,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.49,0.55,0.45,0.55,0.45,0.0,0.52,0.06000000000000005,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.5025,0.55,0.45,0.55,0.45,0.0,0.52625,0.05249999999999999,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
0.465,0.6,0.4,0.6,0.4,0.0,0.5325,0.13499999999999995,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,7201,abm_ode_comparison,弱网络效应,0.8,0.8
