delta_q,quality_strategy,quality_label,final_L_mean,final_L_std,concentration_mean,success_probability,mean_time_to_success,subsidy_spend_mean,roi_mean,final_multi_share,lock_A_probability,lock_B_probability,coexist_probability,tilted_probability,b_success_probability,b_lock_probability,final_L_B_mean,final_L_B_std
0.5,merchant_quality,商户侧质量优势,0.16766666666666669,0.04894390618229151,0.6646666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8323333333333333,0.04894390618229152
0.5,no_quality,无质量优势,0.47741666666666666,0.0885315050191308,0.14550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.0,0.5225833333333333,0.08853150501913079
0.5,quality_plus_subsidy,双边质量+少量精准补贴,0.07841666666666666,0.03649078487717661,0.8431666666666667,0.0,0.0,1400.0,-0.0005154166666666667,0.0,0.0,0.7333333333333333,0.0,0.26666666666666666,1.0,0.7333333333333333,0.9215833333333333,0.0364907848771766
0.5,two_sided_quality,双边质量优势,0.08608333333333333,0.03842277350490883,0.8278333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.6666666666666666,0.9139166666666667,0.03842277350490883
0.5,user_quality,用户侧质量优势,0.1915,0.06112633288058897,0.6170000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8085,0.06112633288058895
0.75,merchant_quality,商户侧质量优势,0.13341666666666668,0.03478719318260399,0.7331666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.8666666666666667,1.0,0.13333333333333333,0.8665833333333333,0.03478719318260399
0.75,no_quality,无质量优势,0.47741666666666666,0.0885315050191308,0.14550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.0,0.5225833333333333,0.08853150501913079
0.75,quality_plus_subsidy,双边质量+少量精准补贴,0.05175,0.02564698534219679,0.8965,0.0,0.0,1400.0,-0.0005344642857142857,0.0,0.0,0.9333333333333333,0.0,0.06666666666666667,1.0,0.9333333333333333,0.9482499999999999,0.02564698534219678
0.75,two_sided_quality,双边质量优势,0.05641666666666667,0.02984658192123434,0.8871666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.06666666666666667,1.0,0.9333333333333333,0.9435833333333333,0.02984658192123436
0.75,user_quality,用户侧质量优势,0.16524999999999998,0.050736099433384564,0.6695,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.9333333333333333,1.0,0.06666666666666667,0.83475,0.05073609943338456
1.0,merchant_quality,商户侧质量优势,0.11408333333333333,0.028945247985677734,0.7718333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.3333333333333333,0.8859166666666667,0.028945247985677734
1.0,no_quality,无质量优势,0.47741666666666666,0.0885315050191308,0.14550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.0,0.5225833333333333,0.08853150501913079
1.0,quality_plus_subsidy,双边质量+少量精准补贴,0.03983333333333334,0.026155726405694104,0.9203333333333333,0.0,0.0,1400.0,-0.0005429761904761905,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9601666666666666,0.026155726405694114
1.0,two_sided_quality,双边质量优势,0.042,0.02591969052945766,0.916,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.958,0.025919690529457647
1.0,user_quality,用户侧质量优势,0.14891666666666667,0.04718378454309831,0.7021666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.0,0.2,0.8510833333333333,0.04718378454309831
1.25,merchant_quality,商户侧质量优势,0.10058333333333333,0.02677146446356287,0.7988333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,1.0,0.6,0.8994166666666668,0.026771464463562857
1.25,no_quality,无质量优势,0.47741666666666666,0.0885315050191308,0.14550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.0,0.5225833333333333,0.08853150501913079
1.25,quality_plus_subsidy,双边质量+少量精准补贴,0.03191666666666667,0.023772858673786153,0.9361666666666667,0.0,0.0,1400.0,-0.0005486309523809525,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9680833333333333,0.023772858673786167
1.25,two_sided_quality,双边质量优势,0.03275,0.023989394978376828,0.9345,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9672499999999999,0.023989394978376835
1.25,user_quality,用户侧质量优势,0.13833333333333334,0.04689860516760245,0.7233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.0,0.2,0.8616666666666667,0.04689860516760242
1.5,merchant_quality,商户侧质量优势,0.09391666666666666,0.021275544870198025,0.8121666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.6666666666666666,0.9060833333333334,0.021275544870198036
