step,ode_u_A,ode_m_A,ode_L_A,scenario
41,0.4999999928372356,0.4999999928372356,0.4999999928372356,弱网络效应
42,0.499999995086875,0.499999995086875,0.499999995086875,弱网络效应
43,0.5000000060813641,0.5000000060813641,0.5000000060813641,弱网络效应
44,0.5000000108834358,0.5000000108834358,0.5000000108834358,弱网络效应
45,0.49999999865145567,0.49999999865145567,0.49999999865145567,弱网络效应
46,0.49999999094746056,0.49999999094746056,0.49999999094746056,弱网络效应
47,0.49999999752352603,0.49999999752352603,0.49999999752352603,弱网络效应
48,0.5000000112422424,0.5000000112422424,0.5000000112422424,弱网络效应
49,0.5000000095127436,0.5000000095127436,0.5000000095127436,弱网络效应
50,0.4999999966628922,0.4999999966628922,0.4999999966628922,弱网络效应
51,0.49999999421917796,0.49999999421917796,0.49999999421917796,弱网络效应
52,0.5000000043430152,0.5000000043430152,0.5000000043430152,弱网络效应
53,0.5000000116713272,0.5000000116713272,0.5000000116713272,弱网络效应
54,0.5000000018161596,0.5000000018161596,0.5000000018161596,弱网络效应
55,0.4999999957783544,0.4999999957783544,0.4999999957783544,弱网络效应
56,0.5000000003398847,0.5000000003398847,0.5000000003398847,弱网络效应
57,0.5000000082107412,0.5000000082107412,0.5000000082107412,弱网络效应
58,0.5000000033054247,0.5000000033054247,0.5000000033054247,弱网络效应
59,0.4999999962737559,0.4999999962737559,0.4999999962737559,弱网络效应
60,0.4999999973925927,0.4999999973925927,0.4999999973925927,弱网络效应
61,0.5000000049402622,0.5000000049402622,0.5000000049402622,弱网络效应
62,0.5000000062636659,0.5000000062636659,0.5000000062636659,弱网络效应
63,0.49999999735792805,0.49999999735792805,0.49999999735792805,弱网络效应
64,0.4999999934987512,0.4999999934987512,0.4999999934987512,弱网络效应
65,0.4999999995888638,0.4999999995888638,0.4999999995888638,弱网络效应
66,0.5000000089305783,0.5000000089305783,0.5000000089305783,弱网络效应
67,0.5000000063270318,0.5000000063270318,0.5000000063270318,弱网络效应
68,0.5000000017467847,0.5000000017467847,0.5000000017467847,弱网络效应
69,0.5000000015325641,0.5000000015325641,0.5000000015325641,弱网络效应
70,0.5000000022021329,0.5000000022021329,0.5000000022021329,弱网络效应
0,0.8,0.8,0.8,强网络效应
1,0.8302984351761574,0.8302984351761574,0.8302984351761574,强网络效应
2,0.8520594684285017,0.8520594684285017,0.8520594684285017,强网络效应
3,0.8668470567918861,0.8668470567918861,0.8668470567918861,强网络效应
4,0.8765369049471117,0.8765369049471117,0.8765369049471117,强网络效应
5,0.8827405876342219,0.8827405876342219,0.8827405876342219,强网络效应
6,0.8866547728605597,0.8866547728605597,0.8866547728605597,强网络效应
7,0.8891020372926777,0.8891020372926777,0.8891020372926777,强网络效应
8,0.8906235354053588,0.8906235354053588,0.8906235354053588,强网络效应
9,0.8915661653218053,0.8915661653218053,0.8915661653218053,强网络效应
10,0.8921489150488187,0.8921489150488187,0.8921489150488187,强网络效应
11,0.8925086948455926,0.8925086948455926,0.8925086948455926,强网络效应
12,0.8927306353608909,0.8927306353608909,0.8927306353608909,强网络效应
13,0.8928674777162541,0.8928674777162541,0.8928674777162541,强网络效应
14,0.8929518252260109,0.8929518252260109,0.8929518252260109,强网络效应
15,0.8930038062993478,0.8930038062993478,0.8930038062993478,强网络效应
16,0.893035836317552,0.893035836317552,0.893035836317552,强网络效应
17,0.8930555684304009,0.8930555684304009,0.8930555684304009,强网络效应
18,0.8930677256971888,0.8930677256971888,0.8930677256971888,强网络效应
