heterogeneity_sigma,seed,final_L,concentration,lock_state,success,time_to_success,total_subsidy_spend,roi,final_multi_share
1.0,5122,0.47,0.06,coexist,0.0,,0.0,0.0,0.0
1.0,5123,0.51875,0.03749999999999998,coexist,0.0,,0.0,0.0,0.0
1.0,5124,0.40125,0.19749999999999995,coexist,0.0,,0.0,0.0,0.0
1.0,5125,0.6699999999999999,0.33999999999999997,tilted,0.0,,0.0,0.0,0.0
1.0,5126,0.46375,0.07250000000000001,coexist,0.0,,0.0,0.0,0.0
1.0,5127,0.49750000000000005,0.10500000000000004,coexist,0.0,,0.0,0.0,0.0
1.0,5128,0.6225,0.245,tilted,0.0,,0.0,0.0,0.0
1.0,5129,0.45625,0.11249999999999993,coexist,0.0,,0.0,0.0,0.0
1.25,5100,0.68125,0.36250000000000004,tilted,0.0,,0.0,0.0,0.0
1.25,5101,0.34375,0.3125,tilted,0.0,,0.0,0.0,0.0
1.25,5102,0.4875,0.025000000000000022,coexist,0.0,,0.0,0.0,0.0
1.25,5103,0.46625,0.0675,coexist,0.0,,0.0,0.0,0.0
1.25,5104,0.4425,0.11499999999999999,coexist,0.0,,0.0,0.0,0.0
1.25,5105,0.5762499999999999,0.15249999999999997,coexist,0.0,,0.0,0.0,0.0
1.25,5106,0.2925,0.41500000000000004,tilted,0.0,,0.0,0.0,0.0
1.25,5107,0.51625,0.06750000000000006,coexist,0.0,,0.0,0.0,0.0
1.25,5108,0.37124999999999997,0.2575,tilted,0.0,,0.0,0.0,0.0
1.25,5109,0.6212500000000001,0.24250000000000005,tilted,0.0,,0.0,0.0,0.0
1.25,5110,0.36125,0.27749999999999997,tilted,0.0,,0.0,0.0,0.0
1.25,5111,0.49875,0.0025000000000000022,coexist,0.0,,0.0,0.0,0.0
1.25,5112,0.69875,0.3975000000000001,tilted,0.0,,0.0,0.0,0.0
1.25,5113,0.4925,0.015000000000000013,coexist,0.0,,0.0,0.0,0.0
1.25,5114,0.43875,0.1225,coexist,0.0,,0.0,0.0,0.0
1.25,5115,0.6100000000000001,0.22000000000000008,tilted,0.0,,0.0,0.0,0.0
1.25,5116,0.4925,0.015000000000000013,coexist,0.0,,0.0,0.0,0.0
1.25,5117,0.45875,0.08249999999999996,coexist,0.0,,0.0,0.0,0.0
1.25,5118,0.515,0.07000000000000006,coexist,0.0,,0.0,0.0,0.0
1.25,5119,0.7,0.3999999999999999,tilted,0.0,,0.0,0.0,0.0
1.25,5120,0.745,0.49,tilted,0.0,,0.0,0.0,0.0
1.25,5121,0.51875,0.03749999999999998,coexist,0.0,,0.0,0.0,0.0
1.25,5122,0.5125,0.025000000000000022,coexist,0.0,,0.0,0.0,0.0
1.25,5123,0.5,0.10000000000000003,coexist,0.0,,0.0,0.0,0.0
1.25,5124,0.40125,0.19749999999999995,coexist,0.0,,0.0,0.0,0.0
1.25,5125,0.675,0.35,tilted,0.0,,0.0,0.0,0.0
1.25,5126,0.47250000000000003,0.05499999999999999,coexist,0.0,,0.0,0.0,0.0
1.25,5127,0.6074999999999999,0.21499999999999997,tilted,0.0,,0.0,0.0,0.0
1.25,5128,0.4125,0.175,coexist,0.0,,0.0,0.0,0.0
1.25,5129,0.51,0.11999999999999994,coexist,0.0,,0.0,0.0,0.0
1.5,5100,0.6825,0.365,tilted,0.0,,0.0,0.0,0.0
1.5,5101,0.33,0.33999999999999997,tilted,0.0,,0.0,0.0,0.0
1.5,5102,0.52625,0.05249999999999999,coexist,0.0,,0.0,0.0,0.0
1.5,5103,0.495,0.010000000000000009,coexist,0.0,,0.0,0.0,0.0
1.5,5104,0.52125,0.05750000000000005,coexist,0.0,,0.0,0.0,0.0
1.5,5105,0.5800000000000001,0.16000000000000003,coexist,0.0,,0.0,0.0,0.0
1.5,5106,0.2925,0.41500000000000004,tilted,0.0,,0.0,0.0,0.0
1.5,5107,0.51625,0.06750000000000006,coexist,0.0,,0.0,0.0,0.0
1.5,5108,0.44125000000000003,0.1175,coexist,0.0,,0.0,0.0,0.0
1.5,5109,0.66625,0.3324999999999999,tilted,0.0,,0.0,0.0,0.0
1.5,5110,0.31875,0.36250000000000004,tilted,0.0,,0.0,0.0,0.0
1.5,5111,0.39875,0.2025,tilted,0.0,,0.0,0.0,0.0
1.5,5112,0.6937500000000001,0.38750000000000007,tilted,0.0,,0.0,0.0,0.0
1.5,5113,0.635,0.27,tilted,0.0,,0.0,0.0,0.0
1.5,5114,0.3925,0.21499999999999997,tilted,0.0,,0.0,0.0,0.0
1.5,5115,0.6025,0.20500000000000007,tilted,0.0,,0.0,0.0,0.0
1.5,5116,0.565,0.13,coexist,0.0,,0.0,0.0,0.0
1.5,5117,0.44625000000000004,0.10749999999999998,coexist,0.0,,0.0,0.0,0.0
1.5,5118,0.5562499999999999,0.11249999999999993,coexist,0.0,,0.0,0.0,0.0
1.5,5119,0.69625,0.39249999999999996,tilted,0.0,,0.0,0.0,0.0
1.5,5120,0.67875,0.35749999999999993,tilted,0.0,,0.0,0.0,0.0
1.5,5121,0.63375,0.26749999999999996,tilted,0.0,,0.0,0.0,0.0
1.5,5122,0.51125,0.022499999999999964,coexist,0.0,,0.0,0.0,0.0
1.5,5123,0.49875,0.09749999999999998,coexist,0.0,,0.0,0.0,0.0
1.5,5124,0.4575,0.08499999999999996,coexist,0.0,,0.0,0.0,0.0
1.5,5125,0.675,0.35,tilted,0.0,,0.0,0.0,0.0
1.5,5126,0.49624999999999997,0.007500000000000007,coexist,0.0,,0.0,0.0,0.0
1.5,5127,0.50375,0.09250000000000003,coexist,0.0,,0.0,0.0,0.0
1.5,5128,0.385,0.22999999999999998,tilted,0.0,,0.0,0.0,0.0
1.5,5129,0.6525,0.30499999999999994,tilted,0.0,,0.0,0.0,0.0
2.0,5100,0.6699999999999999,0.33999999999999997,tilted,0.0,,0.0,0.0,0.0
2.0,5101,0.40374999999999994,0.20749999999999996,tilted,0.0,,0.0,0.0,0.0
2.0,5102,0.62,0.24,tilted,0.0,,0.0,0.0,0.0
2.0,5103,0.51125,0.022499999999999964,coexist,0.0,,0.0,0.0,0.0
2.0,5104,0.49375,0.012500000000000011,coexist,0.0,,0.0,0.0,0.0
2.0,5105,0.51,0.18,coexist,0.0,,0.0,0.0,0.0
2.0,5106,0.28125,0.4375,tilted,0.0,,0.0,0.0,0.0
2.0,5107,0.6737500000000001,0.34750000000000003,tilted,0.0,,0.0,0.0,0.0
2.0,5108,0.52625,0.05249999999999999,coexist,0.0,,0.0,0.0,0.0
2.0,5109,0.73375,0.4675,tilted,0.0,,0.0,0.0,0.0
2.0,5110,0.41000000000000003,0.18,coexist,0.0,,0.0,0.0,0.0
2.0,5111,0.35125,0.2975,tilted,0.0,,0.0,0.0,0.0
2.0,5112,0.45625,0.08750000000000002,coexist,0.0,,0.0,0.0,0.0
2.0,5113,0.70625,0.4125,tilted,0.0,,0.0,0.0,0.0
2.0,5114,0.29874999999999996,0.4025,tilted,0.0,,0.0,0.0,0.0
2.0,5115,0.63,0.26,tilted,0.0,,0.0,0.0,0.0
2.0,5116,0.595,0.19000000000000006,coexist,0.0,,0.0,0.0,0.0
2.0,5117,0.37625,0.2475,tilted,0.0,,0.0,0.0,0.0
2.0,5118,0.49875,0.10250000000000004,coexist,0.0,,0.0,0.0,0.0
2.0,5119,0.54375,0.08750000000000002,coexist,0.0,,0.0,0.0,0.0
2.0,5120,0.67375,0.3474999999999999,tilted,0.0,,0.0,0.0,0.0
2.0,5121,0.605,0.20999999999999996,tilted,0.0,,0.0,0.0,0.0
2.0,5122,0.46499999999999997,0.07,coexist,0.0,,0.0,0.0,0.0
2.0,5123,0.50125,0.10249999999999998,coexist,0.0,,0.0,0.0,0.0
2.0,5124,0.49124999999999996,0.017500000000000016,coexist,0.0,,0.0,0.0,0.0
2.0,5125,0.70375,0.4075,tilted,0.0,,0.0,0.0,0.0
2.0,5126,0.57875,0.15749999999999997,coexist,0.0,,0.0,0.0,0.0
2.0,5127,0.47750000000000004,0.044999999999999984,coexist,0.0,,0.0,0.0,0.0
2.0,5128,0.72375,0.4475,tilted,0.0,,0.0,0.0,0.0
2.0,5129,0.6475,0.29499999999999993,tilted,0.0,,0.0,0.0,0.0
